"Smarter Balanced Growth Report, 2024-25"
"All Districts, ELA and Math, All Grades Combined, All Students"

"District Code","District","Subject","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""1420011""","Tolland School District","Math",743,"51.4%","70.0%"
"=""1430011""","Torrington School District","ELA",1388,"39.6%","61.2%"
"=""1430011""","Torrington School District","Math",1383,"38.7%","59.4%"
"=""1440011""","Trumbull School District","ELA",2530,"48.7%","66.5%"
"=""1440011""","Trumbull School District","Math",2529,"54.7%","71.0%"
"=""3470015""","Unified School District #2","ELA","*","*","*"
"=""3470015""","Unified School District #2","Math","*","*","*"
"=""1450011""","Union School District","ELA",18,"*","*"
"=""1450011""","Union School District","Math",18,"*","*"
"=""1460011""","Vernon School District","ELA",1020,"46.0%","67.5%"
"=""1460011""","Vernon School District","Math",1018,"44.8%","63.5%"
"=""1470011""","Voluntown School District","ELA",100,"36.0%","60.8%"
"=""1470011""","Voluntown School District","Math",100,"52.0%","68.5%"
"=""1480011""","Wallingford School District","ELA",1788,"40.7%","62.1%"
"=""1480011""","Wallingford School District","Math",1779,"40.1%","60.3%"
"=""1510011""","Waterbury School District","ELA",6193,"33.5%","56.6%"
"=""1510011""","Waterbury School District","Math",6156,"32.2%","52.5%"
"=""1520011""","Waterford School District","ELA",797,"41.3%","61.9%"
"=""1520011""","Waterford School District","Math",793,"43.9%","61.7%"
"=""1530011""","Watertown School District","ELA",947,"30.8%","51.2%"
"=""1530011""","Watertown School District","Math",942,"36.9%","54.5%"
"=""1550011""","West Hartford School District","ELA",3200,"47.9%","66.1%"
"=""1550011""","West Hartford School District","Math",3189,"48.5%","65.9%"
"=""1560011""","West Haven School District","ELA",1945,"41.1%","63.5%"
"=""1560011""","West Haven School District","Math",1939,"43.8%","63.9%"
"=""1540011""","Westbrook School District","ELA",199,"58.8%","77.1%"
"=""1540011""","Westbrook School District","Math",199,"62.3%","80.4%"
"=""1570011""","Weston School District","ELA",782,"55.5%","72.9%"
"=""1570011""","Weston School District","Math",781,"62.4%","77.8%"
"=""1580011""","Westport School District","ELA",1882,"54.0%","70.6%"
"=""1580011""","Westport School District","Math",1880,"60.6%","76.3%"
"=""1590011""","Wethersfield School District","ELA",1243,"41.4%","61.9%"
"=""1590011""","Wethersfield School District","Math",1242,"45.9%","65.5%"
"=""1600011""","Willington School District","ELA",182,"41.2%","61.3%"
"=""1600011""","Willington School District","Math",179,"54.7%","71.7%"
"=""1610011""","Wilton School District","ELA",1323,"53.4%","69.7%"
"=""1610011""","Wilton School District","Math",1316,"67.2%","83.1%"
"=""1620011""","Winchester School District","ELA",202,"39.6%","61.6%"
"=""1620011""","Winchester School District","Math",202,"44.1%","62.1%"
"=""1630011""","Windham School District","ELA",1181,"34.0%","58.0%"
"=""1630011""","Windham School District","Math",1172,"36.8%","57.8%"
"=""1650011""","Windsor Locks School District","ELA",480,"35.2%","56.7%"
"=""1650011""","Windsor Locks School District","Math",476,"41.0%","61.9%"
"=""1640011""","Windsor School District","ELA",1058,"41.4%","63.4%"
"=""1640011""","Windsor School District","Math",1050,"44.0%","63.8%"
"=""1660011""","Wolcott School District","ELA",762,"42.1%","62.1%"
"=""1660011""","Wolcott School District","Math",762,"46.7%","65.8%"
"=""1670011""","Woodbridge School District","ELA",340,"54.4%","71.2%"
"=""1670011""","Woodbridge School District","Math",337,"64.1%","82.0%"
"=""1690011""","Woodstock School District","ELA",409,"30.8%","52.2%"
"=""1690011""","Woodstock School District","Math",408,"38.5%","60.7%"

