district,district_code,fiscal_year,expenditure_category,amount,source_format,cpi_u,deflator,amount_real
Plainville School District,1100011,2007,Noncertified Personnel,978578,archived_wide,207.344,1.5527914962574272,1519527.5968246006
Plymouth School District,1110011,2007,Noncertified Personnel,488023,archived_wide,207.344,1.5527914962574272,757797.9643780384
Pomfret School District,1120011,2007,Noncertified Personnel,207490,archived_wide,207.344,1.5527914962574272,322188.70755845355
Portland School District,1130011,2007,Noncertified Personnel,442685,archived_wide,207.344,1.5527914962574272,687397.5035207191
Preston School District,1140011,2007,Noncertified Personnel,483144,archived_wide,207.344,1.5527914962574272,750221.8946677984
Putnam School District,1160011,2007,Noncertified Personnel,615587,archived_wide,207.344,1.5527914962574272,955878.2588066208
Redding School District,1170011,2007,Noncertified Personnel,683680,archived_wide,207.344,1.5527914962574272,1061612.4901612778
Regional School District 01,2010012,2007,Noncertified Personnel,183323,archived_wide,207.344,1.5527914962574272,284662.3954684003
Regional School District 04,2040012,2007,Noncertified Personnel,360390,archived_wide,207.344,1.5527914962574272,559610.5273362142
Regional School District 05,2050012,2007,Noncertified Personnel,511582,archived_wide,207.344,1.5527914962574272,794380.1792383671
Regional School District 06,2060012,2007,Noncertified Personnel,506842,archived_wide,207.344,1.5527914962574272,787019.9475461069
Regional School District 07,2070012,2007,Noncertified Personnel,242521,archived_wide,207.344,1.5527914962574272,376584.5464638475
Regional School District 08,2080012,2007,Noncertified Personnel,606699,archived_wide,207.344,1.5527914962574272,942077.0479878848
Regional School District 09,2090012,2007,Noncertified Personnel,316598,archived_wide,207.344,1.5527914962574272,491610.68213210895
Regional School District 10,2100012,2007,Noncertified Personnel,798618,archived_wide,207.344,1.5527914962574272,1240087.239158114
Regional School District 11,2110012,2007,Noncertified Personnel,112115,archived_wide,207.344,1.5527914962574272,174091.21860290144
Regional School District 12,2120012,2007,Noncertified Personnel,685739,archived_wide,207.344,1.5527914962574272,1064809.6878520718
Regional School District 13,2130012,2007,Noncertified Personnel,838700,archived_wide,207.344,1.5527914962574272,1302326.2279111042
Regional School District 14,2140012,2007,Noncertified Personnel,942326,archived_wide,207.344,1.5527914962574272,1463235.7995022763
Regional School District 15,2150012,2007,Noncertified Personnel,1607928,archived_wide,207.344,1.5527914962574272,2496776.9249942126
Regional School District 16,2160012,2007,Noncertified Personnel,861780,archived_wide,207.344,1.5527914962574272,1338164.6556447255
Regional School District 17,2170012,2007,Noncertified Personnel,828442,archived_wide,207.344,1.5527914962574272,1286397.6927424956
Regional School District 18,2180012,2007,Noncertified Personnel,934961,archived_wide,207.344,1.5527914962574272,1451799.4901323405
Regional School District 19,2190012,2007,Noncertified Personnel,215664,archived_wide,207.344,1.5527914962574272,334881.22524886177
Ridgefield School District,1180011,2007,Noncertified Personnel,1621962,archived_wide,207.344,1.5527914962574272,2518568.800852689
Rocky Hill School District,1190011,2007,Noncertified Personnel,1043391,archived_wide,207.344,1.5527914962574272,1620168.6720715333
Salem School District,1210011,2007,Noncertified Personnel,124200,archived_wide,207.344,1.5527914962574272,192856.70383517246
Salisbury School District,1220011,2007,Noncertified Personnel,87122,archived_wide,207.344,1.5527914962574272,135282.30073693956
Scotland School District,1230011,2007,Noncertified Personnel,92582,archived_wide,207.344,1.5527914962574272,143760.5423065051
Seymour School District,1240011,2007,Noncertified Personnel,627516,archived_wide,207.344,1.5527914962574272,974401.5085654757
Sharon School District,1250011,2007,Noncertified Personnel,77574,archived_wide,207.344,1.5527914962574272,120456.24753067366
Shelton School District,1260011,2007,Noncertified Personnel,1472442,archived_wide,207.344,1.5527914962574272,2286395.4163322784
Sherman School District,1270011,2007,Noncertified Personnel,187700,archived_wide,207.344,1.5527914962574272,291458.9638475191
Simsbury School District,1280011,2007,Noncertified Personnel,2234468,archived_wide,207.344,1.5527914962574272,3469662.9090593406
Somers School District,1290011,2007,Noncertified Personnel,546694,archived_wide,207.344,1.5527914962574272,848901.7942549579
South Windsor School District,1320011,2007,Noncertified Personnel,1702950,archived_wide,207.344,1.5527914962574272,2644326.2785515855
Southington School District,1310011,2007,Noncertified Personnel,2628967,archived_wide,207.344,1.5527914962574272,4082237.6015413995
Sprague School District,1330011,2007,Noncertified Personnel,193037,archived_wide,207.344,1.5527914962574272,299746.21206304495
Stafford School District,1340011,2007,Noncertified Personnel,572987,archived_wide,207.344,1.5527914962574272,889729.3410660544
Stamford School District,1350011,2007,Noncertified Personnel,5258542,archived_wide,207.344,1.5527914962574272,8165419.300312524
Sterling School District,1360011,2007,Noncertified Personnel,390480,archived_wide,207.344,1.5527914962574272,606334.0234586002
Stonington School District,1370011,2007,Noncertified Personnel,1030926,archived_wide,207.344,1.5527914962574272,1600813.1260706843
Stratford School District,1380011,2007,Noncertified Personnel,1528929,archived_wide,207.344,1.5527914962574272,2374107.949581372
Suffield School District,1390011,2007,Noncertified Personnel,846445,archived_wide,207.344,1.5527914962574272,1314352.5980496178
Thomaston School District,1400011,2007,Noncertified Personnel,334975,archived_wide,207.344,1.5527914962574272,520146.3314588317
Thompson School District,1410011,2007,Noncertified Personnel,485285,archived_wide,207.344,1.5527914962574272,753546.4212612855
Tolland School District,1420011,2007,Noncertified Personnel,832675,archived_wide,207.344,1.5527914962574272,1292970.6591461531
Torrington School District,1430011,2007,Noncertified Personnel,2358065,archived_wide,207.344,1.5527914962574272,3661583.2796222703
Trumbull School District,1440011,2007,Noncertified Personnel,2195426,archived_wide,207.344,1.5527914962574272,3409038.8234624583
Union School District,1450011,2007,Noncertified Personnel,12714,archived_wide,207.344,1.5527914962574272,19742.19108341693
Vernon School District,1460011,2007,Noncertified Personnel,1239033,archived_wide,207.344,1.5527914962574272,1923959.9059823288
Voluntown School District,1470011,2007,Noncertified Personnel,377462,archived_wide,207.344,1.5527914962574272,586119.783760321
Wallingford School District,1480011,2007,Noncertified Personnel,2561283,archived_wide,207.344,1.5527914962574272,3977138.461908712
Waterbury School District,1510011,2007,Noncertified Personnel,7936874,archived_wide,207.344,1.5527914962574272,12324310.454066671
Waterford School District,1520011,2007,Noncertified Personnel,1245009,archived_wide,207.344,1.5527914962574272,1933239.3879639632
Watertown School District,1530011,2007,Noncertified Personnel,1022866,archived_wide,207.344,1.5527914962574272,1588297.6266108495
West Hartford School District,1550011,2007,Noncertified Personnel,2718720,archived_wide,207.344,1.5527914962574272,4221605.296704993
West Haven School District,1560011,2007,Noncertified Personnel,2443021,archived_wide,207.344,1.5527914962574272,3793502.233978316
Westbrook School District,1540011,2007,Noncertified Personnel,268234,archived_wide,207.344,1.5527914962574272,416511.4742071147
Weston School District,1570011,2007,Noncertified Personnel,1100035,archived_wide,207.344,1.5527914962574272,1708124.9935855388
Westport School District,1580011,2007,Noncertified Personnel,2701047,archived_wide,207.344,1.5527914962574272,4194162.8125916347
Wethersfield School District,1590011,2007,Noncertified Personnel,1572865,archived_wide,207.344,1.5527914962574272,2442331.396760938
Willington School District,1600011,2007,Noncertified Personnel,147274,archived_wide,207.344,1.5527914962574272,228685.81481981633
Wilton School District,1610011,2007,Noncertified Personnel,2808714,archived_wide,207.344,1.5527914962574272,4361347.214619183
Winchester School District,1620011,2007,Noncertified Personnel,1014375,archived_wide,207.344,1.5527914962574272,1575112.8740161278
Windham School District,1630011,2007,Noncertified Personnel,1995933,archived_wide,207.344,1.5527914962574272,3099267.7894995753
Windsor Locks School District,1650011,2007,Noncertified Personnel,1119719,archived_wide,207.344,1.5527914962574272,1738690.1413978701
Windsor School District,1640011,2007,Noncertified Personnel,1795728,archived_wide,207.344,1.5527914962574272,2788391.1679913574
Wolcott School District,1660011,2007,Noncertified Personnel,688427,archived_wide,207.344,1.5527914962574272,1068983.5913940119
Woodbridge School District,1670011,2007,Noncertified Personnel,340881,archived_wide,207.344,1.5527914962574272,529317.118035728
Woodstock School District,1690011,2007,Noncertified Personnel,647549,archived_wide,207.344,1.5527914962574272,1005508.5806100008
Andover School District,10011,2007,Employee Benefits,40381,archived_wide,207.344,1.5527914962574272,62703.27341037117
Ansonia School District,20011,2007,Employee Benefits,459850,archived_wide,207.344,1.5527914962574272,714051.1695539779
Ashford School District,30011,2007,Employee Benefits,274479,archived_wide,207.344,1.5527914962574272,426208.65710124234
Avon School District,40011,2007,Employee Benefits,873776,archived_wide,207.344,1.5527914962574272,1356791.9424338297
Barkhamsted School District,50011,2007,Employee Benefits,15335,archived_wide,207.344,1.5527914962574272,23812.057595107646
Berlin School District,70011,2007,Employee Benefits,670308,archived_wide,207.344,1.5527914962574272,1040848.5622733235
Bethany School District,80011,2007,Employee Benefits,113132,archived_wide,207.344,1.5527914962574272,175670.40755459527
Bethel School District,90011,2007,Employee Benefits,935285,archived_wide,207.344,1.5527914962574272,1452302.5945771278
Bloomfield School District,110011,2007,Employee Benefits,671657,archived_wide,207.344,1.5527914962574272,1042943.2780017748
Bolton School District,120011,2007,Employee Benefits,337570,archived_wide,207.344,1.5527914962574272,524175.8253916197
Bozrah School District,130011,2007,Employee Benefits,54607,archived_wide,207.344,1.5527914962574272,84793.28523612933
Branford School District,140011,2007,Employee Benefits,933017,archived_wide,207.344,1.5527914962574272,1448780.863463616
Bridgeport School District,150011,2007,Employee Benefits,4836286,archived_wide,207.344,1.5527914962574272,7509743.774268848
Bristol School District,170011,2007,Employee Benefits,1975325,archived_wide,207.344,1.5527914962574272,3067267.8623447022
Brookfield School District,180011,2007,Employee Benefits,804949,archived_wide,207.344,1.5527914962574272,1249917.9621209197
Brooklyn School District,190011,2007,Employee Benefits,308970,archived_wide,207.344,1.5527914962574272,479765.98859865725
Canaan School District,210011,2007,Employee Benefits,40717,archived_wide,207.344,1.5527914962574272,63225.01135311366
Canterbury School District,220011,2007,Employee Benefits,221098,archived_wide,207.344,1.5527914962574272,343319.0942395246
Canton School District,230011,2007,Employee Benefits,661200,archived_wide,207.344,1.5527914962574272,1026705.7373254108
Chaplin School District,240011,2007,Employee Benefits,83037,archived_wide,207.344,1.5527914962574272,128939.14747472799
Cheshire School District,250011,2007,Employee Benefits,1469278,archived_wide,207.344,1.5527914962574272,2281482.38403812
Chester School District,260011,2007,Employee Benefits,152037,archived_wide,207.344,1.5527914962574272,236081.76071649045
Clinton School District,270011,2007,Employee Benefits,678792,archived_wide,207.344,1.5527914962574272,1054022.4453275716
Colchester School District,280011,2007,Employee Benefits,894989,archived_wide,207.344,1.5527914962574272,1389731.3084439384
