district,fiscal_year,school_year,placement_type,count,percent
Norwich School District,2024,2023-24,Private Schools or Other Settings,101.0,10.0
Old Saybrook School District,2024,2023-24,Private Schools or Other Settings,6.0,3.8
Orange School District,2024,2023-24,Private Schools or Other Settings,,
Oxford School District,2024,2023-24,Private Schools or Other Settings,9.0,3.4
Plainfield School District,2024,2023-24,Private Schools or Other Settings,14.0,4.0
Plainville School District,2024,2023-24,Private Schools or Other Settings,14.0,4.5
Plymouth School District,2024,2023-24,Private Schools or Other Settings,8.0,2.7
Pomfret School District,2024,2023-24,Private Schools or Other Settings,7.0,9.1
Portland School District,2024,2023-24,Private Schools or Other Settings,18.0,7.1
Preston School District,2024,2023-24,Private Schools or Other Settings,7.0,8.0
Putnam School District,2024,2023-24,Private Schools or Other Settings,12.0,5.2
Redding School District,2024,2023-24,Private Schools or Other Settings,,
Regional School District 01,2024,2023-24,Private Schools or Other Settings,,
Regional School District 04,2024,2023-24,Private Schools or Other Settings,8.0,5.6
Regional School District 05,2024,2023-24,Private Schools or Other Settings,14.0,4.9
Regional School District 06,2024,2023-24,Private Schools or Other Settings,,
Regional School District 07,2024,2023-24,Private Schools or Other Settings,10.0,5.5
Regional School District 08,2024,2023-24,Private Schools or Other Settings,13.0,6.7
Regional School District 09,2024,2023-24,Private Schools or Other Settings,11.0,8.7
Regional School District 10,2024,2023-24,Private Schools or Other Settings,13.0,3.6
Regional School District 11,2024,2023-24,Private Schools or Other Settings,,
Regional School District 12,2024,2023-24,Private Schools or Other Settings,21.0,21.6
Regional School District 13,2024,2023-24,Private Schools or Other Settings,,
Regional School District 14,2024,2023-24,Private Schools or Other Settings,,
Regional School District 15,2024,2023-24,Private Schools or Other Settings,24.0,3.9
Regional School District 16,2024,2023-24,Private Schools or Other Settings,7.0,2.3
Regional School District 17,2024,2023-24,Private Schools or Other Settings,11.0,3.5
Regional School District 18,2024,2023-24,Private Schools or Other Settings,,
Regional School District 19,2024,2023-24,Private Schools or Other Settings,8.0,4.4
Ridgefield School District,2024,2023-24,Private Schools or Other Settings,32.0,4.3
Rocky Hill School District,2024,2023-24,Private Schools or Other Settings,7.0,2.0
Salem School District,2024,2023-24,Private Schools or Other Settings,,
Salisbury School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Scotland School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Seymour School District,2024,2023-24,Private Schools or Other Settings,15.0,4.4
Sharon School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Shelton School District,2024,2023-24,Private Schools or Other Settings,20.0,2.8
Sherman School District,2024,2023-24,Private Schools or Other Settings,,
Simsbury School District,2024,2023-24,Private Schools or Other Settings,84.0,11.2
Somers School District,2024,2023-24,Private Schools or Other Settings,9.0,4.3
South Windsor School District,2024,2023-24,Private Schools or Other Settings,18.0,2.9
Southington School District,2024,2023-24,Private Schools or Other Settings,47.0,4.8
Sprague School District,2024,2023-24,Private Schools or Other Settings,10.0,12.8
Stafford School District,2024,2023-24,Private Schools or Other Settings,8.0,3.2
Stamford School District,2024,2023-24,Private Schools or Other Settings,116.0,4.7
State Total,2024,2023-24,Private Schools or Other Settings,3919.0,4.6
Sterling School District,2024,2023-24,Private Schools or Other Settings,8.0,9.4
Stonington School District,2024,2023-24,Private Schools or Other Settings,37.0,12.5
Stratford School District,2024,2023-24,Private Schools or Other Settings,57.0,4.8
Suffield School District,2024,2023-24,Private Schools or Other Settings,13.0,4.5
Thomaston School District,2024,2023-24,Private Schools or Other Settings,,
Thompson School District,2024,2023-24,Private Schools or Other Settings,13.0,7.6
Tolland School District,2024,2023-24,Private Schools or Other Settings,15.0,4.3
Torrington School District,2024,2023-24,Private Schools or Other Settings,52.0,6.6
Trumbull School District,2024,2023-24,Private Schools or Other Settings,36.0,3.7
Unified School District #2,2024,2023-24,Private Schools or Other Settings,15.0,23.4
Union School District,2024,2023-24,Private Schools or Other Settings,0.0,0.0
Vernon School District,2024,2023-24,Private Schools or Other Settings,14.0,2.3
Voluntown School District,2024,2023-24,Private Schools or Other Settings,,
Wallingford School District,2024,2023-24,Private Schools or Other Settings,41.0,4.4
Waterbury School District,2024,2023-24,Private Schools or Other Settings,147.0,4.1
Waterford School District,2024,2023-24,Private Schools or Other Settings,23.0,5.5
Watertown School District,2024,2023-24,Private Schools or Other Settings,25.0,5.7
West Hartford School District,2024,2023-24,Private Schools or Other Settings,171.0,10.4
West Haven School District,2024,2023-24,Private Schools or Other Settings,68.0,5.7
Westbrook School District,2024,2023-24,Private Schools or Other Settings,,
Weston School District,2024,2023-24,Private Schools or Other Settings,17.0,5.3
Westport School District,2024,2023-24,Private Schools or Other Settings,25.0,3.4
Wethersfield School District,2024,2023-24,Private Schools or Other Settings,26.0,4.6
Willington School District,2024,2023-24,Private Schools or Other Settings,,
Wilton School District,2024,2023-24,Private Schools or Other Settings,16.0,2.6
Winchester School District,2024,2023-24,Private Schools or Other Settings,16.0,8.8
Windham School District,2024,2023-24,Private Schools or Other Settings,24.0,3.7
Windsor Locks School District,2024,2023-24,Private Schools or Other Settings,12.0,4.3
Windsor School District,2024,2023-24,Private Schools or Other Settings,46.0,6.1
Wolcott School District,2024,2023-24,Private Schools or Other Settings,11.0,3.3
Woodbridge School District,2024,2023-24,Private Schools or Other Settings,,
Woodstock School District,2024,2023-24,Private Schools or Other Settings,,
Andover School District,2024,2023-24,Public Schools in Other Districts,,
Ansonia School District,2024,2023-24,Public Schools in Other Districts,41.0,9.6
Ashford School District,2024,2023-24,Public Schools in Other Districts,,
Avon School District,2024,2023-24,Public Schools in Other Districts,12.0,3.3
Berlin School District,2024,2023-24,Public Schools in Other Districts,8.0,2.1
Bethel School District,2024,2023-24,Public Schools in Other Districts,12.0,2.4
Bloomfield School District,2024,2023-24,Public Schools in Other Districts,142.0,31.4
Bolton School District,2024,2023-24,Public Schools in Other Districts,,
Bozrah School District,2024,2023-24,Public Schools in Other Districts,17.0,40.5
Branford School District,2024,2023-24,Public Schools in Other Districts,15.0,4.2
Bridgeport School District,2024,2023-24,Public Schools in Other Districts,579.0,14.2
Bristol School District,2024,2023-24,Public Schools in Other Districts,76.0,4.6
Brookfield School District,2024,2023-24,Public Schools in Other Districts,20.0,5.3
Brooklyn School District,2024,2023-24,Public Schools in Other Districts,40.0,19.9
Canterbury School District,2024,2023-24,Public Schools in Other Districts,16.0,19.8
Canton School District,2024,2023-24,Public Schools in Other Districts,11.0,4.1
Chaplin School District,2024,2023-24,Public Schools in Other Districts,0.0,0.0
Cheshire School District,2024,2023-24,Public Schools in Other Districts,13.0,2.2
Chester School District,2024,2023-24,Public Schools in Other Districts,,
Clinton School District,2024,2023-24,Public Schools in Other Districts,17.0,7.3
Colchester School District,2024,2023-24,Public Schools in Other Districts,18.0,4.8
Colebrook School District,2024,2023-24,Public Schools in Other Districts,,
Columbia School District,2024,2023-24,Public Schools in Other Districts,26.0,32.9
Cornwall School District,2024,2023-24,Public Schools in Other Districts,,
Coventry School District,2024,2023-24,Public Schools in Other Districts,10.0,4.6
Cromwell School District,2024,2023-24,Public Schools in Other Districts,27.0,10.0
Danbury School District,2024,2023-24,Public Schools in Other Districts,16.0,1.0
Darien School District,2024,2023-24,Public Schools in Other Districts,6.0,0.7
Deep River School District,2024,2023-24,Public Schools in Other Districts,7.0,17.9
Department of Mental Health and Addiction Services,2024,2023-24,Public Schools in Other Districts,0.0,0.0
Derby School District,2024,2023-24,Public Schools in Other Districts,26.0,8.5
East Granby School District,2024,2023-24,Public Schools in Other Districts,6.0,5.5
East Haddam School District,2024,2023-24,Public Schools in Other Districts,,
East Hampton School District,2024,2023-24,Public Schools in Other Districts,13.0,4.5
East Hartford School District,2024,2023-24,Public Schools in Other Districts,299.0,18.6
East Haven School District,2024,2023-24,Public Schools in Other Districts,52.0,9.5
East Lyme School District,2024,2023-24,Public Schools in Other Districts,10.0,2.2
East Windsor School District,2024,2023-24,Public Schools in Other Districts,15.0,6.9
Eastford School District,2024,2023-24,Public Schools in Other Districts,8.0,25.8
Ellington School District,2024,2023-24,Public Schools in Other Districts,9.0,2.2
Enfield School District,2024,2023-24,Public Schools in Other Districts,38.0,4.0
Essex School District,2024,2023-24,Public Schools in Other Districts,0.0,0.0
Fairfield School District,2024,2023-24,Public Schools in Other Districts,16.0,1.0
Farmington School District,2024,2023-24,Public Schools in Other Districts,16.0,2.9
Franklin School District,2024,2023-24,Public Schools in Other Districts,7.0,31.8
Glastonbury School District,2024,2023-24,Public Schools in Other Districts,28.0,4.1
Granby School District,2024,2023-24,Public Schools in Other Districts,18.0,6.6
Greenwich School District,2024,2023-24,Public Schools in Other Districts,6.0,0.5
Griswold School District,2024,2023-24,Public Schools in Other Districts,11.0,3.9
Groton School District,2024,2023-24,Public Schools in Other Districts,49.0,6.2
Guilford School District,2024,2023-24,Public Schools in Other Districts,12.0,2.7
Hamden School District,2024,2023-24,Public Schools in Other Districts,192.0,16.4
Hampton School District,2024,2023-24,Public Schools in Other Districts,,
Hartford School District,2024,2023-24,Public Schools in Other Districts,1166.0,28.9
Hartland School District,2024,2023-24,Public Schools in Other Districts,13.0,37.1
Hebron School District,2024,2023-24,Public Schools in Other Districts,,
Killingly School District,2024,2023-24,Public Schools in Other Districts,22.0,4.8
Lebanon School District,2024,2023-24,Public Schools in Other Districts,,
Ledyard School District,2024,2023-24,Public Schools in Other Districts,15.0,3.4
Lisbon School District,2024,2023-24,Public Schools in Other Districts,20.0,19.2
Litchfield School District,2024,2023-24,Public Schools in Other Districts,,
Madison School District,2024,2023-24,Public Schools in Other Districts,11.0,3.0
Manchester School District,2024,2023-24,Public Schools in Other Districts,170.0,13.6
Mansfield School District,2024,2023-24,Public Schools in Other Districts,,
Marlborough School District,2024,2023-24,Public Schools in Other Districts,,
Meriden School District,2024,2023-24,Public Schools in Other Districts,64.0,3.4
Middletown School District,2024,2023-24,Public Schools in Other Districts,36.0,4.7
Milford School District,2024,2023-24,Public Schools in Other Districts,28.0,3.0
Monroe School District,2024,2023-24,Public Schools in Other Districts,20.0,3.8
Montville School District,2024,2023-24,Public Schools in Other Districts,28.0,6.3
Naugatuck School District,2024,2023-24,Public Schools in Other Districts,64.0,7.7
New Britain School District,2024,2023-24,Public Schools in Other Districts,274.0,11.4
New Canaan School District,2024,2023-24,Public Schools in Other Districts,,
