district,fiscal_year,needs_group,cohort_count,graduation_count,graduation_rate
Bolton School District,2014,All Students,103.0,97.0,94.2
Branford School District,2014,All Students,299.0,272.0,91.0
Bridgeport School District,2014,All Students,1247.0,892.0,71.5
Bristol School District,2014,All Students,699.0,572.0,81.8
Brookfield School District,2014,All Students,232.0,225.0,97.0
Canton School District,2014,All Students,136.0,128.0,94.1
Capitol Region Education Council,2014,All Students,317.0,281.0,88.6
Cheshire School District,2014,All Students,389.0,371.0,95.4
Clinton School District,2014,All Students,133.0,123.0,92.5
Colchester School District,2014,All Students,248.0,237.0,95.6
Common Ground High School District,2014,All Students,29.0,26.0,89.7
Connecticut Technical Education and Career System,2014,All Students,2423.0,2329.0,96.1
Coventry School District,2014,All Students,133.0,128.0,96.2
Cromwell School District,2014,All Students,134.0,122.0,91.0
Danbury School District,2014,All Students,761.0,594.0,78.1
Darien School District,2014,All Students,336.0,325.0,96.7
Department of Mental Health and Addiction Services,2014,All Students,,,
Derby School District,2014,All Students,102.0,83.0,81.4
East Granby School District,2014,All Students,66.0,60.0,90.9
East Haddam School District,2014,All Students,105.0,98.0,93.3
East Hampton School District,2014,All Students,121.0,117.0,96.7
East Hartford School District,2014,All Students,507.0,397.0,78.3
East Haven School District,2014,All Students,260.0,210.0,80.8
East Lyme School District,2014,All Students,274.0,256.0,93.4
East Windsor School District,2014,All Students,109.0,97.0,89.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2014,All Students,66.0,49.0,74.2
Ellington School District,2014,All Students,194.0,185.0,95.4
Elm City College Preparatory School District,2014,All Students,24.0,15.0,62.5
Enfield School District,2014,All Students,424.0,366.0,86.3
Explorations District,2014,All Students,27.0,18.0,66.7
Fairfield School District,2014,All Students,728.0,683.0,93.8
Farmington School District,2014,All Students,344.0,328.0,95.3
Glastonbury School District,2014,All Students,585.0,562.0,96.1
Granby School District,2014,All Students,205.0,194.0,94.6
Greenwich School District,2014,All Students,670.0,637.0,95.1
Griswold School District,2014,All Students,170.0,144.0,84.7
Groton School District,2014,All Students,317.0,269.0,84.9
Guilford School District,2014,All Students,286.0,265.0,92.7
Hamden School District,2014,All Students,458.0,408.0,89.1
Hartford School District,2014,All Students,1370.0,980.0,71.5
Killingly School District,2014,All Students,218.0,176.0,80.7
Learn,2014,All Students,153.0,141.0,92.2
Lebanon School District,2014,All Students,105.0,98.0,93.3
Ledyard School District,2014,All Students,247.0,224.0,90.7
Lisbon School District,2014,All Students,,,
Litchfield School District,2014,All Students,69.0,64.0,92.8
Madison School District,2014,All Students,320.0,310.0,96.9
Manchester School District,2014,All Students,454.0,373.0,82.2
Meriden School District,2014,All Students,615.0,468.0,76.1
Middletown School District,2014,All Students,334.0,276.0,82.6
Milford School District,2014,All Students,508.0,468.0,92.1
Monroe School District,2014,All Students,300.0,289.0,96.3
Montville School District,2014,All Students,193.0,171.0,88.6
Naugatuck School District,2014,All Students,333.0,273.0,82.0
New Britain School District,2014,All Students,656.0,417.0,63.6
New Canaan School District,2014,All Students,312.0,307.0,98.4
New Fairfield School District,2014,All Students,239.0,231.0,96.7
New Haven School District,2014,All Students,1309.0,988.0,75.5
New London School District,2014,All Students,228.0,162.0,71.1
New Milford School District,2014,All Students,383.0,344.0,89.8
Newington School District,2014,All Students,364.0,338.0,92.9
Newtown School District,2014,All Students,423.0,409.0,96.7
North Branford School District,2014,All Students,150.0,136.0,90.7
