"Student Counts by District and Race"
"All Districts"
"2022-23"

"",,"Race",,,,,,,
"District","District Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"Trumbull School District","=""1440011""",10,692,462,1318,7,184,4247,6920
"Unified School District #1","=""3360015""",0,0,65,46,0,"*","*",124
"Unified School District #2","=""3470015""",0,"*",18,15,0,"*",31,72
"Union School District","=""1450011""",0,0,0,"*",0,0,"*","*"
"Vernon School District","=""1460011""","*",242,326,695,"*",264,1616,3148
"Voluntown School District","=""1470011""",0,"*","*",12,"*","*",226,250
"Wallingford School District","=""1480011""",6,259,99,1101,7,199,3664,5335
"Waterbury School District","=""1510011""","*",286,3967,11516,"*",764,2069,18701
"Waterford School District","=""1520011""",7,115,56,340,7,128,1685,2338
"Watertown School District","=""1530011""",6,38,94,280,7,101,2072,2598
"West Hartford School District","=""1550011""",19,955,757,1881,15,558,5046,9231
"West Haven School District","=""1560011""","*",288,1435,2374,"*",279,1583,5976
"Westbrook School District","=""1540011""",0,12,"*",167,0,"*",424,617
"Weston School District","=""1570011""","*",136,"*",192,0,160,1677,2197
"Westport School District","=""1580011""","*",358,"*",426,0,377,4108,5387
"Wethersfield School District","=""1590011""",7,193,170,759,6,155,2356,3646
"Willington School District","=""1600011""","*","*",10,39,0,12,330,398
"Wilton School District","=""1610011""","*",423,34,250,"*",238,2839,3788
"Winchester School District","=""1620011""",0,"*",16,87,"*",20,472,606
"Windham School District","=""1630011""",11,21,104,2345,0,66,677,3224
"Windsor Locks School District","=""1650011""","*",92,199,278,"*",98,875,1549
"Windsor School District","=""1640011""","*",124,1332,822,"*",301,751,3337
"Wolcott School District","=""1660011""",7,53,81,327,0,68,1603,2139
"Woodbridge School District","=""1670011""","*",128,"*",60,0,78,559,848
"Woodstock School District","=""1690011""","*",6,"*",39,0,37,683,774
"Total","=""""",1284,26455,64444,154223,507,22936,243664,513513

