year,leaid,grade,enrollment
2018,0901080,4,41
2018,0901110,4,96
2018,0901170,4,65
2018,0901200,4,69
2018,0901230,4,132
2018,0901260,4,501
2018,0901290,4,211
2018,0901320,4,170
2018,0901350,4,72
2018,0901360,4,13
2018,0901380,4,13
2018,0901410,4,93
2018,0901440,4,205
2018,0901470,4,385
2018,0901500,4,41
2018,0901530,4,723
2018,0901560,4,294
2018,0901590,4,22
2018,0901620,4,408
2018,0901680,4,154
2018,0901710,4,675
2018,0901740,4,129
2018,0901770,4,343
2018,0901800,4,241
2018,0901860,4,415
2018,0901890,4,10
2018,0901920,4,1429
2018,0901950,4,18
2018,0902010,4,81
2018,0902040,4,25
2018,0902070,4,160
2018,0902130,4,66
2018,0902160,4,167
2018,0902190,4,29
2018,0902220,4,67
2018,0902280,4,171
2018,0902310,4,480
2018,0902340,4,114
2018,0902370,4,65
2018,0902400,4,706
2018,0902490,4,358
2018,0902520,4,408
2018,0902550,4,229
2018,0902580,4,146
2018,0902640,4,324
2018,0902670,4,859
2018,0902700,4,336
2018,0902730,4,140
2018,0902760,4,53
2018,0902790,4,1546
2018,0902820,4,295
2018,0902850,4,268
2018,0902880,4,291
2018,0902910,4,278
2018,0902940,4,12
2018,0902970,4,151
2018,0903000,4,18
2018,0903030,4,221
2018,0903060,4,62
2018,0903090,4,891
2018,0903120,4,345
2018,0903180,4,102
2018,0903210,4,175
2018,0903240,4,127
2018,0903270,4,147
2018,0903300,4,162
2018,0903330,4,98
2018,0903360,4,39
2018,0903390,4,90
2018,0903420,4,40
2018,0903450,4,141
2018,0903480,4,80
2018,0903510,4,83
2018,0903512,4,1
2018,0903515,4,54
2018,0903520,4,143
2018,0903530,4,42
2018,0903535,4,108
2018,0903536,4,104
2018,0903537,4,242
2018,0903538,4,140
2018,0903539,4,141
2018,0903540,4,84
2018,0903600,4,1
2018,0903810,4,334
2018,0903840,4,230
2018,0903900,4,44
2018,0903930,4,30
2018,0903960,4,12
2018,0903990,4,171
2018,0904020,4,15
2018,0904050,4,360
2018,0904080,4,34
2018,0904110,4,293
2018,0904140,4,101
2018,0904170,4,324
2018,0904230,4,497
2018,0904260,4,34
2018,0904290,4,131
2018,0904320,4,1242
2018,0904350,4,35
2018,0904380,4,139
2018,0904440,4,474
2018,0904470,4,142
2018,0904500,4,65
2018,0904530,4,75
2018,0904560,4,189
2018,0904590,4,322
2018,0904620,4,443
2018,0904650,4,4
2018,0904680,4,241
2018,0904710,4,28
2018,0904740,4,422
2018,0904830,4,1522
2018,0904860,4,169
2018,0904890,4,201
2018,0904920,4,685
2018,0904950,4,403
2018,0904980,4,41
2018,0905010,4,164
2018,0905040,4,374
2018,0905070,4,263
2018,0905100,4,46
2018,0905130,4,308
2018,0905160,4,69
2018,0905190,4,274
2018,0905220,4,225
2018,0905250,4,101
2018,0905280,4,138
2018,0905310,4,124
2018,0905370,4,88
2018,0900007,5,81
2018,0900009,5,38
2018,0900010,5,33
2018,0900016,5,21
2018,0900024,5,97
2018,0900028,5,45
2018,0900030,5,28
2018,0900033,5,100
2018,0900060,5,175
2018,0900070,5,105
2018,0900090,5,46
2018,0900120,5,242
2018,0900150,5,35
2018,0900207,5,35
2018,0900208,5,99
2018,0900210,5,211
2018,0900212,5,102
2018,0900214,5,65
2018,0900215,5,35
2018,0900217,5,26
2018,0900221,5,54
2018,0900240,5,60
2018,0900270,5,256
2018,0900330,5,113
2018,0900360,5,60
2018,0900390,5,16
2018,0900420,5,201
2018,0900450,5,1574
2018,0900510,5,576
2018,0900540,5,184
2018,0900570,5,95
2018,0900630,5,8
2018,0900660,5,46
2018,0900690,5,112
2018,0900700,5,577
2018,0900720,5,10
2018,0900750,5,290
2018,0900780,5,25
2018,0900810,5,143
2018,0900840,5,170
2018,0900870,5,11
2018,0900900,5,43
2018,0900910,5,66
2018,0900930,5,17
2018,0900960,5,142
2018,0900990,5,145
2018,0901020,5,918
2018,0901050,5,394
2018,0901080,5,33
2018,0901110,5,117
2018,0901170,5,77
2018,0901200,5,74
2018,0901230,5,144
2018,0901260,5,553
2018,0901290,5,209
2018,0901320,5,202
2018,0901350,5,78
2018,0901360,5,6
2018,0901380,5,14
2018,0901410,5,99
2018,0901440,5,206
2018,0901470,5,355
2018,0901500,5,64
2018,0901530,5,784
2018,0901560,5,313
2018,0901590,5,9
2018,0901620,5,435
2018,0901680,5,137
2018,0901710,5,732
2018,0901740,5,152
2018,0901770,5,326
2018,0901800,5,223
2018,0901860,5,418
2018,0901890,5,12
2018,0901920,5,1383
2018,0901950,5,17
2018,0902010,5,91
2018,0902040,5,24
2018,0902070,5,165
2018,0902130,5,62
2018,0902160,5,180
2018,0902190,5,46
2018,0902220,5,64
2018,0902280,5,193
2018,0902310,5,479
2018,0902340,5,121
2018,0902370,5,65
2018,0902400,5,730
2018,0902490,5,367
2018,0902520,5,407
2018,0902550,5,233
2018,0902580,5,188
2018,0902640,5,322
2018,0902670,5,830
2018,0902700,5,297
2018,0902730,5,161
2018,0902760,5,57
2018,0902790,5,1586
2018,0902820,5,290
2018,0902850,5,288
2018,0902880,5,315
2018,0902910,5,285
2018,0902940,5,15
2018,0902970,5,129
2018,0903000,5,28
2018,0903030,5,225
2018,0903060,5,57
2018,0903090,5,844
2018,0903120,5,382
2018,0903180,5,75
2018,0903210,5,161
2018,0903240,5,133
2018,0903270,5,167
2018,0903300,5,179
2018,0903330,5,120
2018,0903360,5,40
2018,0903390,5,104
2018,0903420,5,47
2018,0903450,5,164
2018,0903480,5,100
2018,0903510,5,87
2018,0903512,5,4
2018,0903515,5,43
2018,0903520,5,185
2018,0903530,5,41
2018,0903535,5,107
2018,0903536,5,116
2018,0903537,5,267
2018,0903538,5,155
2018,0903539,5,159
2018,0903540,5,83
2018,0903810,5,356
2018,0903840,5,218
2018,0903900,5,37
2018,0903930,5,28
2018,0903960,5,13
2018,0903990,5,185
2018,0904020,5,14
2018,0904050,5,348
2018,0904080,5,28
2018,0904110,5,285
2018,0904140,5,82
2018,0904170,5,346
2018,0904230,5,502
2018,0904260,5,31
2018,0904290,5,128
2018,0904320,5,1216
2018,0904350,5,39
2018,0904380,5,145
2018,0904440,5,534
2018,0904470,5,138
2018,0904500,5,57
2018,0904530,5,77
2018,0904560,5,184
2018,0904590,5,337
2018,0904620,5,532
2018,0904650,5,7
2018,0904680,5,215
2018,0904710,5,26
2018,0904740,5,413
2018,0904830,5,1452
2018,0904860,5,190
2018,0904890,5,195
2018,0904920,5,748
2018,0904950,5,463
2018,0904980,5,47
2018,0905010,5,180
2018,0905040,5,437
2018,0905070,5,273
2018,0905100,5,35
2018,0905130,5,285
2018,0905160,5,76
2018,0905190,5,277
2018,0905220,5,217
2018,0905250,5,102
2018,0905280,5,158
2018,0905310,5,133
2018,0905370,5,99
2018,0900007,6,63
2018,0900009,6,36
2018,0900010,6,38
2018,0900011,6,97
2018,0900016,6,22
