"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
,,"Math","N",800,798,99.8,798,28,3.5,126,15.8,209,26.2,435,54.5,644,80.7
,,,"Y",374,362,96.8,361,105,29.1,107,29.6,86,23.8,63,17.5,149,41.3
"Elm City College Preparatory School District","=""2890013""","ELA","N",58,56,96.6,56,12,21.4,17,30.4,17,30.4,10,17.9,27,48.2
,,,"Y",308,307,99.7,307,127,41.4,74,24.1,74,24.1,32,10.4,106,34.5
,,"Math","N",58,55,94.8,55,16,29.1,15,27.3,18,32.7,6,10.9,24,43.6
,,,"Y",308,305,99.0,305,148,48.5,77,25.2,49,16.1,31,10.2,80,26.2
"Elm City Montessori School District","=""2910013""","ELA","N",49,49,100.0,49,"*","*",9,18.4,17,34.7,"*","*","*","*"
,,,"Y",78,78,100.0,78,"*","*",18,23.1,14,17.9,"*","*","*","*"
,,"Math","N",49,49,100.0,49,"*","*",17,34.7,16,32.7,"*","*","*","*"
,,,"Y",78,78,100.0,77,46,59.7,21,27.3,"*","*","*","*",10,13.0
"Enfield School District","=""0490011""","ELA","N",842,836,99.3,836,136,16.3,181,21.7,323,38.6,196,23.4,519,62.1
,,,"Y",1181,1153,97.6,1153,488,42.3,277,24.0,288,25.0,100,8.7,388,33.7
,,"Math","N",842,834,99.0,834,127,15.2,228,27.3,258,30.9,221,26.5,479,57.4
,,,"Y",1180,1137,96.4,1137,511,44.9,345,30.3,190,16.7,91,8.0,281,24.7
"Essex School District","=""0500011""","ELA","N",94,92,97.9,92,"*","*","*","*",35,38.0,40,43.5,75,81.5
,,,"Y",59,58,98.3,58,"*","*",13,22.4,"*","*",14,24.1,"*","*"
,,"Math","N",94,92,97.9,92,"*","*","*","*",32,34.8,41,44.6,73,79.3
,,,"Y",59,57,96.6,57,"*","*",17,29.8,18,31.6,"*","*","*","*"
"Fairfield School District","=""0510011""","ELA","N",2829,2828,100.0,2828,88,3.1,355,12.6,1036,36.6,1349,47.7,2385,84.3
,,,"Y",1329,1307,98.3,1307,324,24.8,369,28.2,388,29.7,226,17.3,614,47.0
,,"Math","N",2829,2822,99.8,2822,79,2.8,381,13.5,866,30.7,1496,53.0,2362,83.7
,,,"Y",1328,1304,98.2,1304,309,23.7,371,28.5,345,26.5,279,21.4,624,47.9
"Farmington School District","=""0520011""","ELA","N",1381,1381,100.0,1381,36,2.6,139,10.1,452,32.7,754,54.6,1206,87.3
,,,"Y",611,611,100.0,611,172,28.2,141,23.1,175,28.6,123,20.1,298,48.8
,,"Math","N",1381,1381,100.0,1381,35,2.5,173,12.5,329,23.8,844,61.1,1173,84.9
,,,"Y",611,603,98.7,603,169,28.0,171,28.4,131,21.7,132,21.9,263,43.6
"Franklin School District","=""0530011""","ELA","N",74,74,100.0,74,"*","*","*","*",37,50.0,15,20.3,52,70.3
,,,"Y",27,27,100.0,27,"*","*","*","*",10,37.0,7,25.9,17,63.0
,,"Math","N",74,74,100.0,74,"*","*",20,27.0,27,36.5,"*","*","*","*"
,,,"Y",27,27,100.0,27,"*","*",11,40.7,6,22.2,"*","*","*","*"
"Glastonbury School District","=""0540011""","ELA","N",1939,1938,99.9,1938,81,4.2,243,12.5,666,34.4,948,48.9,1614,83.3
,,,"Y",650,646,99.4,646,207,32.0,172,26.6,173,26.8,94,14.6,267,41.3
,,"Math","N",1939,1938,99.9,1938,52,2.7,248,12.8,504,26.0,1134,58.5,1638,84.5
,,,"Y",650,644,99.1,644,206,32.0,178,27.6,137,21.3,123,19.1,260,40.4
"Goodwin University Educational Services (GUES)","=""2310018""","ELA","N",113,113,100.0,113,35,31.0,34,30.1,34,30.1,10,8.8,44,38.9
,,,"Y",309,308,99.7,308,194,63.0,62,20.1,42,13.6,10,3.2,52,16.9
,,"Math","N",113,113,100.0,113,46,40.7,36,31.9,19,16.8,12,10.6,31,27.4
