District,District Code,fiscal_year,ppe_total,cpi_u,deflator,ppe_total_real
Oxford School District,1080011.0,2010,12019.0,218.076,1.4763752086428583,17744.553632678515
Oxford School District,1080011.0,2011,12267.0,224.923,1.431432090093054,17559.377449171494
Oxford School District,1080011.0,2012,12332.0,229.586,1.402359028860645,17293.89154390947
Oxford School District,1080011.0,2013,13262.0,232.952,1.3820958824135443,18329.355592568423
Oxford School District,1080011.0,2014,13980.0,236.715,1.3601250448851994,19014.548127495087
Oxford School District,1080011.0,2015,14372.0,237.002,1.3584779875275312,19524.04563674568
Oxford School District,1080011.0,2016,14536.0,240.005,1.3414803858252953,19499.758888356493
Oxford School District,1080011.0,2017,15249.0,245.121,1.3134819130143889,20029.28569155641
Oxford School District,1080011.0,2018,16125.0,251.1,1.282206292313819,20675.576463560334
Oxford School District,1080011.0,2019,17381.0,255.653,1.2593711006716135,21889.12910077332
Oxford School District,1080011.0,2020,18001.0,258.856,1.2437880520443798,22389.42872485088
Oxford School District,1080011.0,2021,19841.0,270.973,1.1881700390813843,23574.481745413745
Oxford School District,1080011.0,2022,19322.0,292.626,1.1002508321201807,21259.04657822613
Oxford School District,1080011.0,2023,20026.0,304.703,1.056642041594602,21160.313524973502
Oxford School District,1080011.0,2024,21221.0,313.698,1.026343808376209,21780.041957551533
Oxford School District,1080011.0,2025,22415.0,321.962,1.0,22415.0
Park City Prep Charter School District,2830013.0,2007,8586.0,207.344,1.5527914962574272,13332.26778686627
Park City Prep Charter School District,2830013.0,2008,8113.0,215.254,1.4957306252148626,12134.86256236818
Park City Prep Charter School District,2830013.0,2009,9093.0,214.565,1.5005336378253675,13644.352368746067
Park City Prep Charter School District,2830013.0,2010,10725.0,218.076,1.4763752086428583,15834.124112694655
Park City Prep Charter School District,2830013.0,2011,9932.0,224.923,1.431432090093054,14216.983518804213
Park City Prep Charter School District,2830013.0,2012,10069.0,229.586,1.402359028860645,14120.35306159783
Park City Prep Charter School District,2830013.0,2013,11130.0,232.952,1.3820958824135443,15382.727171262748
Park City Prep Charter School District,2830013.0,2014,12894.0,236.715,1.3601250448851994,17537.45232874976
Park City Prep Charter School District,2830013.0,2015,11902.0,237.002,1.3584779875275312,16168.605007552676
Park City Prep Charter School District,2830013.0,2016,10917.0,240.005,1.3414803858252953,14644.941372054747
Park City Prep Charter School District,2830013.0,2017,13172.0,245.121,1.3134819130143889,17301.18375822553
Park City Prep Charter School District,2830013.0,2018,11673.0,251.1,1.282206292313819,14967.19405017921
Park City Prep Charter School District,2830013.0,2019,12922.0,255.653,1.2593711006716135,16273.59336287859
Park City Prep Charter School District,2830013.0,2020,11395.0,258.856,1.2437880520443798,14172.964853045709
Park City Prep Charter School District,2830013.0,2021,13569.0,270.973,1.1881700390813843,16122.279260295303
Park City Prep Charter School District,2830013.0,2022,16517.0,292.626,1.1002508321201807,18172.842994129023
Park City Prep Charter School District,2830013.0,2023,16151.0,304.703,1.056642041594602,17065.82561379442
Park City Prep Charter School District,2830013.0,2024,16727.0,313.698,1.026343808376209,17167.652882708848
Park City Prep Charter School District,2830013.0,2025,15541.0,321.962,1.0,15541.0
Path Academy District,2930013.0,2015,14850.0,237.002,1.3584779875275312,20173.39811478384
Path Academy District,2930013.0,2016,13572.0,240.005,1.3414803858252953,18206.571796420907
Path Academy District,2930013.0,2017,13165.0,245.121,1.3134819130143889,17291.989384834425
Path Academy District,2930013.0,2018,10815.0,251.1,1.282206292313819,13867.061051373954
Plainfield School District,1090011.0,2007,11481.0,207.344,1.5527914962574272,17827.59916853152
Plainfield School District,1090011.0,2008,12095.0,215.254,1.4957306252148626,18090.861911973763
Plainfield School District,1090011.0,2009,12581.0,214.565,1.5005336378253675,18878.213697480947
Plainfield School District,1090011.0,2010,13452.0,218.076,1.4763752086428583,19860.199306663733
Plainfield School District,1090011.0,2011,13637.0,224.923,1.431432090093054,19520.43941259898
Plainfield School District,1090011.0,2012,12973.0,229.586,1.402359028860645,18192.803681409143
Plainfield School District,1090011.0,2013,13293.0,232.952,1.3820958824135443,18372.200564923245
Plainfield School District,1090011.0,2014,13951.0,236.715,1.3601250448851994,18975.10450119341
Plainfield School District,1090011.0,2015,14661.0,237.002,1.3584779875275312,19916.645775141136
Plainfield School District,1090011.0,2016,15210.0,240.005,1.3414803858252953,20403.91666840274
Plainfield School District,1090011.0,2017,15578.0,245.121,1.3134819130143889,20461.421240938147
Plainfield School District,1090011.0,2018,15215.0,251.1,1.282206292313819,19508.76873755476
Plainfield School District,1090011.0,2019,15926.0,255.653,1.2593711006716135,20056.744149296115
Plainfield School District,1090011.0,2020,16043.0,258.856,1.2437880520443798,19954.091718947984
Plainfield School District,1090011.0,2021,17837.0,270.973,1.1881700390813843,21193.38898709465
Plainfield School District,1090011.0,2022,19386.0,292.626,1.1002508321201807,21329.462631481823
Plainfield School District,1090011.0,2023,19064.0,304.703,1.056642041594602,20143.82388095949
Plainfield School District,1090011.0,2024,20655.0,313.698,1.026343808376209,21199.1313620106
Plainfield School District,1090011.0,2025,20864.0,321.962,1.0,20864.0
Plainville School District,1100011.0,2007,12071.0,207.344,1.5527914962574272,18743.746151323405
Plainville School District,1100011.0,2008,12665.0,215.254,1.4957306252148626,18943.428368346234
Plainville School District,1100011.0,2009,13357.0,214.565,1.5005336378253675,20042.627800433434
Plainville School District,1100011.0,2010,13447.0,218.076,1.4763752086428583,19852.81743062052
Plainville School District,1100011.0,2011,13814.0,224.923,1.431432090093054,19773.80289254545
Plainville School District,1100011.0,2012,14297.0,229.586,1.402359028860645,20049.52703562064
Plainville School District,1100011.0,2013,14605.0,232.952,1.3820958824135443,20185.510362649813
Plainville School District,1100011.0,2014,15212.0,236.715,1.3601250448851994,20690.22218279365
Plainville School District,1100011.0,2015,15034.0,237.002,1.3584779875275312,20423.358064488904
Plainville School District,1100011.0,2016,15357.0,240.005,1.3414803858252953,20601.11428511906
Plainville School District,1100011.0,2017,15880.0,245.121,1.3134819130143889,20858.09277866849
Plainville School District,1100011.0,2018,15945.0,251.1,1.282206292313819,20444.77933094385
Plainville School District,1100011.0,2019,17080.0,255.653,1.2593711006716135,21510.05839947116
Plainville School District,1100011.0,2020,16910.0,258.856,1.2437880520443798,21032.455960070463
Plainville School District,1100011.0,2021,18730.0,270.973,1.1881700390813843,22254.42483199433
Plainville School District,1100011.0,2022,19569.0,292.626,1.1002508321201807,21530.808533759817
Plainville School District,1100011.0,2023,20255.0,304.703,1.056642041594602,21402.284552498662
Plainville School District,1100011.0,2024,21283.0,313.698,1.026343808376209,21843.67527367086
Plainville School District,1100011.0,2025,22412.0,321.962,1.0,22412.0
Plymouth School District,1110011.0,2007,10771.0,207.344,1.5527914962574272,16725.11720618875
Plymouth School District,1110011.0,2008,11025.0,215.254,1.4957306252148626,16490.43014299386
Plymouth School District,1110011.0,2009,11741.0,214.565,1.5005336378253675,17617.76544170764
Plymouth School District,1110011.0,2010,12321.0,218.076,1.4763752086428583,18190.41894568866
Plymouth School District,1110011.0,2011,12757.0,224.923,1.431432090093054,18260.77917331709
Plymouth School District,1110011.0,2012,13512.0,229.586,1.402359028860645,18948.675197965036
Plymouth School District,1110011.0,2013,13618.0,232.952,1.3820958824135443,18821.381726707645
Plymouth School District,1110011.0,2014,14035.0,236.715,1.3601250448851994,19089.35500496377
Plymouth School District,1110011.0,2015,14330.0,237.002,1.3584779875275312,19466.98956126952
Plymouth School District,1110011.0,2016,14895.0,240.005,1.3414803858252953,19981.350346867774
Plymouth School District,1110011.0,2017,15145.0,245.121,1.3134819130143889,19892.68357260292
Plymouth School District,1110011.0,2018,15249.0,251.1,1.282206292313819,19552.363751493427
Plymouth School District,1110011.0,2019,15885.0,255.653,1.2593711006716135,20005.10993416858
Plymouth School District,1110011.0,2020,17034.0,258.856,1.2437880520443798,21186.685678523965
Plymouth School District,1110011.0,2021,18209.0,270.973,1.1881700390813843,21635.388241632925
