fiscal_year,lea_id,district,required_nss,actual_nss,foundation_budget,actual_to_required,actual_to_foundation
2024,915,Norfolk County,5446251.0,5978226.08,5446250.787494,1.097677,1.097677
2024,999,"State Totals, Reporting Districts",14174477940.531122,17652860654.492104,13953949977.949133,1.245398,1.26508
2025,1,Abington,32236385.0,36623076.62,32236384.53,1.136079,1.136079
2025,3,Acushnet,16145186.0,17226993.91,15622821.81,1.067005,1.102681
2025,5,Agawam,52988778.0,71030912.469107,52988778.25,1.34049,1.34049
2025,7,Amesbury,28829720.0,40463641.36,26495878.26,1.403539,1.527167
2025,8,Amherst,17500933.0,29996534.32,13476149.79,1.713996,2.225898
2025,9,Andover,74410097.0,121941656.071879,72595075.47,1.638778,1.679751
2025,10,Arlington,78223272.0,118019795.307327,77449420.44,1.508756,1.523831
2025,14,Ashland,38361802.0,48098610.17,37765344.57,1.253815,1.273618
2025,16,Attleboro,103796052.008067,105145166.25,102004503.3,1.012998,1.030789
2025,17,Auburn,33139220.0,39965332.43,32470504.22,1.205983,1.23082
2025,18,Avon,9880363.0,14458300.97,9514711.52,1.463337,1.519573
2025,20,Barnstable,89214280.0,109186322.9852,88879328.45,1.223866,1.228478
2025,23,Bedford,35021978.0,59539513.900236,34828204.55,1.700061,1.70952
2025,24,Belchertown,28680410.0,33674422.0,27898291.62,1.174126,1.207042
2025,25,Bellingham,31022708.0,42758743.92,30088447.59,1.378305,1.421102
2025,26,Belmont,60144184.0,84637386.6,59533725.07,1.407241,1.421671
2025,27,Berkley,9240413.0,10483792.06,8895289.57,1.134559,1.178578
2025,30,Beverly,64176965.0,83384329.745068,62707090.12,1.299288,1.329743
2025,31,Billerica,73072729.0,94338649.66,65232366.11,1.291024,1.446194
2025,35,Boston,1182075543.0,1629284358.291684,1145949554.0,1.378325,1.421777
2025,36,Bourne,24968979.0,35865229.72,24109451.63,1.436392,1.4876
2025,38,Boxford,9072414.0,16096474.88,9024222.11,1.774222,1.783697
