District,ppe_instructional_staff,ppe_instructional_supplies,ppe_instruction_media,ppe_student_support,ppe_admin_support,ppe_plant,ppe_transportation,ppe_other,ppe_total,fiscal_year,District Code
Amistad Academy District,4553,1415,254,2236,2318,784,,693,12283,2007,2790013.0
Andover School District,6618,489,144,460,1353,1151,259.0,0,10658,2007,10011.0
Ansonia School District,5154,141,227,1062,1082,802,377.0,204,9332,2007,20011.0
Ashford School District,7840,365,93,129,1085,1180,533.0,36,12380,2007,30011.0
Avon School District,6273,245,249,971,928,1168,431.0,155,10615,2007,40011.0
Barkhamsted School District,6307,225,282,124,977,918,348.0,13,9606,2007,50011.0
Berlin School District,5995,296,326,949,1213,1396,489.0,229,11115,2007,70011.0
Bethany School District,6299,287,464,459,1101,1166,286.0,0,10604,2007,80011.0
Bethel School District,6652,144,799,835,1223,1154,508.0,132,11902,2007,90011.0
Bloomfield School District,8277,603,328,1289,2537,2072,649.0,203,14584,2007,110011.0
Bolton School District,7284,193,601,787,1435,1119,648.0,185,12373,2007,120011.0
Bozrah School District,7347,361,63,755,1310,1046,669.0,231,12388,2007,130011.0
Branford School District,6931,411,540,723,1128,1048,619.0,225,11992,2007,140011.0
Bridgeport School District,7276,242,217,621,1041,1288,552.0,116,11857,2007,150011.0
Bristol School District,6593,223,537,429,1016,1065,505.0,174,10895,2007,170011.0
Brookfield School District,6284,189,613,822,1268,1091,458.0,241,11067,2007,180011.0
Brooklyn School District,5714,95,133,788,825,884,700.0,20,9920,2007,190011.0
Canaan School District,11363,888,444,868,2490,2090,852.0,157,18398,2007,210011.0
Canterbury School District,7662,354,135,713,1651,1686,1080.0,32,14649,2007,220011.0
Canton School District,6530,180,136,852,1556,1479,607.0,38,11596,2007,230011.0
Chaplin School District,8409,291,296,1375,1788,1991,476.0,18,14932,2007,240011.0
Cheshire School District,6308,211,393,664,978,1111,551.0,178,10683,2007,250011.0
Chester School District,6594,280,86,1384,1702,1084,179.0,0,11370,2007,260011.0
Clinton School District,8163,488,338,785,1054,1164,632.0,95,12994,2007,270011.0
Colchester School District,5800,265,260,749,1013,904,669.0,117,10174,2007,280011.0
Colebrook School District,8408,155,299,283,1789,1340,336.0,98,13392,2007,290011.0
Columbia School District,6693,350,284,2211,1145,843,736.0,107,13206,2007,300011.0
Common Ground High School District,6497,178,166,565,1627,743,,843,10660,2007,2680013.0
Cornwall School District,10246,707,1387,916,2633,2198,1109.0,4,18873,2007,310011.0
Coventry School District,6315,230,462,847,962,954,686.0,225,10841,2007,320011.0
Cromwell School District,7291,306,143,500,1457,1243,452.0,166,11720,2007,330011.0
Cross Cultural Academy District,4808,516,113,5,2404,1409,,936,11378,2007,
Danbury School District,7371,295,506,665,1040,878,516.0,77,11202,2007,340011.0
Darien School District,8340,382,476,407,1286,1454,559.0,241,13367,2007,350011.0
Deep River School District,6575,307,73,1673,1611,1069,172.0,0,12029,2007,360011.0
Derby School District,6130,282,183,1041,1501,1019,397.0,187,10857,2007,370011.0
East Granby School District,6995,272,540,729,1649,1220,492.0,185,12335,2007,400011.0
East Haddam School District,6449,439,232,686,1307,1572,684.0,14,11826,2007,410011.0
East Hampton School District,6282,238,257,659,1128,1009,750.0,22,10947,2007,420011.0
East Hartford School District,7831,182,177,361,1275,1090,462.0,79,10619,2007,430011.0
East Haven School District,5731,140,457,730,1604,1432,521.0,247,11378,2007,440011.0
East Lyme School District,7024,204,463,412,1112,1454,422.0,234,11688,2007,450011.0
East Windsor School District,6264,277,207,545,1372,934,763.0,66,10853,2007,470011.0
Eastford School District,6757,174,140,1943,1741,1061,793.0,0,13563,2007,390011.0
Easton School District,8062,163,142,143,1266,1146,633.0,0,12121,2007,460011.0
Ellington School District,6552,199,266,453,840,1129,582.0,125,10415,2007,480011.0
Elm City College Preparatory School,3729,1108,197,1030,1868,564,,776,9271,2007,2810013.0
Enfield School District,6657,156,243,775,1090,1371,468.0,193,11105,2007,490011.0
Essex School District,6751,252,103,1130,1563,912,234.0,0,11083,2007,500011.0
Explorations District,4678,172,326,391,2072,1502,,0,9440,2007,2720013.0
Fairfield School District,7677,218,874,1042,1561,1560,639.0,201,13975,2007,510011.0
Farmington School District,6534,238,423,790,1136,1437,587.0,181,11662,2007,520011.0
Franklin School District,6952,399,100,709,1567,1379,793.0,15,12783,2007,530011.0
Glastonbury School District,6191,210,537,595,1230,1251,565.0,165,10922,2007,540011.0
Granby School District,6187,522,344,588,1118,1227,500.0,232,10693,2007,560011.0
Greenwich School District,10604,344,340,1074,1507,2391,441.0,13,17120,2007,570011.0
Griswold School District,5904,438,164,388,1336,1261,691.0,264,10647,2007,580011.0
Groton School District,7590,376,564,1113,1242,1377,742.0,0,13194,2007,590011.0
Guilford School District,6731,185,325,724,1426,1215,653.0,173,11884,2007,600011.0
Hamden School District,7868,255,262,1104,1294,1357,741.0,122,13014,2007,620011.0
Hampton School District,7792,266,335,1116,2059,1100,588.0,0,13632,2007,630011.0
Hartford School District,8227,475,704,1349,1663,1694,918.0,0,15428,2007,640011.0
Hartland School District,6222,266,637,1681,1646,1107,691.0,453,9691,2007,650011.0
Hebron School District,6007,268,287,385,769,849,269.0,0,9119,2007,670011.0
Highville Mustard Seed Charter School District,3313,169,335,1435,2740,1823,,456,10270,2007,
Integrated Day Charter School District,4991,219,668,227,1440,1002,,225,8783,2007,2640013.0
Interdistrict School for Arts and Comm District,5624,196,219,309,1765,991,,97,9209,2007,2650013.0
Jumoke Academy District,3797,347,264,1401,2211,1014,,1,9036,2007,2610013.0
Kent School District,9060,350,341,807,1672,1641,753.0,99,14922,2007,680011.0
Killingly School District,6982,240,579,629,1443,1237,634.0,7,12339,2007,690011.0
Lebanon School District,5395,295,269,727,1131,1171,694.0,123,10080,2007,710011.0
Ledyard School District,6542,227,170,625,1334,921,708.0,145,10945,2007,720011.0
Lisbon School District,7395,259,28,202,719,1182,664.0,19,11183,2007,730011.0
Litchfield School District,6692,294,620,1037,1211,1327,701.0,277,12335,2007,740011.0
Madison School District,5960,274,369,694,843,1092,626.0,321,10525,2007,760011.0
Manchester School District,7663,202,316,846,1335,1407,443.0,183,12469,2007,770011.0
Mansfield School District,8980,460,500,871,1695,1357,437.0,59,14806,2007,780011.0
Marlborough School District,6889,269,341,280,1098,967,278.0,0,10438,2007,790011.0
Meriden School District,6673,229,165,889,1254,1410,465.0,91,11497,2007,800011.0
Middletown School District,7752,179,284,589,1013,1350,1010.0,240,12768,2007,830011.0
Milford School District,8229,403,256,393,1100,1306,360.0,106,12354,2007,840011.0
Monroe School District,6193,130,442,782,983,1265,516.0,100,10503,2007,850011.0
Montville School District,6908,386,325,694,1057,1253,611.0,162,11398,2007,860011.0
Naugatuck School District,7318,192,102,646,1007,1091,476.0,111,10997,2007,880011.0
New Beginnings Inc Family Academy District,5439,244,972,405,2335,1036,,470,11019,2007,2800013.0
New Britain School District,7275,227,301,405,943,1000,832.0,22,11476,2007,890011.0
New Canaan School District,8201,157,285,1294,2234,2059,791.0,255,15711,2007,900011.0
New Fairfield School District,6421,275,199,741,1057,1060,432.0,91,10522,2007,910011.0
New Hartford School District,6720,255,79,608,1178,1552,486.0,0,11488,2007,920011.0
New Haven School District,8601,262,441,504,1663,1603,857.0,215,14516,2007,930011.0
New London School District,8558,414,507,943,1642,1681,584.0,173,13070,2007,950011.0
New Milford School District,6306,189,223,705,1035,1230,759.0,154,10928,2007,960011.0
Newington School District,6407,422,460,633,1254,1410,523.0,147,11644,2007,940011.0
Newtown School District,6079,244,308,750,1027,1461,768.0,140,10969,2007,970011.0
Norfolk School District,7580,225,446,267,2203,1707,620.0,0,13352,2007,980011.0
North Branford School District,5439,235,593,914,1134,1234,715.0,226,10612,2007,990011.0
North Canaan School District,8456,521,30,624,1693,1442,607.0,4,13722,2007,1000011.0
North Haven School District,5642,104,281,950,1374,837,633.0,108,10278,2007,1010011.0
North Stonington School District,8387,696,164,809,1806,1388,968.0,0,14375,2007,1020011.0
Norwalk School District,8822,386,215,808,1445,1337,495.0,130,13944,2007,1030011.0
Norwich School District,7045,149,84,1181,926,986,803.0,0,12497,2007,1040011.0
Odyssey Community School District,4975,265,437,156,1122,1139,,0,8094,2007,2630013.0
Old Saybrook School District,6426,168,792,738,1235,1391,485.0,237,11855,2007,1060011.0
Orange School District,7436,191,162,952,1148,985,324.0,29,11586,2007,1070011.0
Oxford School District,6167,333,264,452,1725,1210,679.0,41,11481,2007,1080011.0
Park City Prep Charter School District,3008,815,3,465,2543,1491,,230,8586,2007,2830013.0
Plainfield School District,6184,200,365,793,1104,1190,752.0,100,11481,2007,1090011.0
Plainville School District,6923,254,450,566,1240,1159,639.0,149,12071,2007,1100011.0
Plymouth School District,6055,325,200,797,921,1298,1010.0,159,10771,2007,1110011.0
Pomfret School District,6996,310,170,214,860,1000,646.0,9,11234,2007,1120011.0
Portland School District,6356,262,409,814,1274,1596,559.0,187,11753,2007,1130011.0
Preston School District,9275,715,0,778,1280,1279,790.0,13,15681,2007,1140011.0
Putnam School District,6697,327,223,1212,1352,1348,512.0,232,12723,2007,1160011.0
Redding School District,9515,258,256,167,1314,1539,650.0,2,14468,2007,1170011.0
Regional School District 01,8639,365,685,1140,1754,2051,210.0,610,16530,2007,2010012.0
Regional School District 04,7031,287,396,761,2588,1757,465.0,37,13804,2007,2040012.0
Regional School District 05,7074,231,448,618,1872,1370,705.0,359,13036,2007,2050012.0
Regional School District 06,7259,239,511,901,1489,1924,706.0,166,13283,2007,2060012.0
Regional School District 07,7314,359,271,617,1332,1563,1049.0,312,13073,2007,2070012.0
Regional School District 08,6715,285,518,523,1108,1207,654.0,230,11755,2007,2080012.0
Regional School District 09,10580,407,216,163,1337,1870,776.0,0,16539,2007,2090012.0
Regional School District 10,5762,371,733,617,951,1235,736.0,0,10762,2007,2100012.0
Regional School District 11,8606,402,292,1096,2831,3828,808.0,496,18872,2007,2110012.0
Regional School District 12,8948,546,725,1245,1796,1973,1139.0,327,16920,2007,2120012.0
Regional School District 13,6672,161,587,1034,1037,1451,845.0,167,12256,2007,2130012.0
Regional School District 14,6364,342,645,893,1094,1217,649.0,255,11887,2007,2140012.0
Regional School District 15,6533,183,348,1058,971,1322,679.0,223,11349,2007,2150012.0
Regional School District 16,5652,211,673,701,1151,1141,638.0,160,10503,2007,2160012.0
Regional School District 17,6814,234,422,734,1191,1765,797.0,197,12433,2007,2170012.0
Regional School District 18,7701,267,670,1008,2233,2427,645.0,302,15753,2007,2180012.0
Regional School District 19,7505,586,301,892,1525,1114,920.0,524,13711,2007,2190012.0
Ridgefield School District,7135,199,719,596,980,1645,738.0,185,12660,2007,1180011.0
Rocky Hill School District,6501,216,541,650,853,1410,431.0,23,11046,2007,1190011.0
Salem School District,7685,661,53,247,1923,1254,741.0,0,13162,2007,1210011.0
Salisbury School District,10218,450,568,638,1652,1992,756.0,27,16461,2007,1220011.0
Scotland School District,7220,509,370,575,1314,719,540.0,93,11955,2007,1230011.0
Seymour School District,5644,257,235,691,1430,1175,464.0,146,10153,2007,1240011.0
Sharon School District,9468,397,537,1175,1873,1997,727.0,138,16970,2007,1250011.0
Shelton School District,6121,317,544,826,1018,1202,502.0,115,10816,2007,1260011.0
Sherman School District,7824,318,613,82,858,1004,667.0,71,10669,2007,1270011.0
Side By Side Charter School District,4777,241,205,1295,1438,1840,,0,9795,2007,2700013.0
Simsbury School District,6857,353,578,765,956,1175,458.0,119,11426,2007,1280011.0
Somers School District,6364,192,236,536,1001,1007,503.0,123,10312,2007,1290011.0
South Windsor School District,6494,292,285,753,1154,969,594.0,226,10986,2007,1320011.0
Southington School District,6774,193,158,774,1092,1007,426.0,87,10894,2007,1310011.0
Sprague School District,6901,338,119,901,1506,1024,1073.0,77,13742,2007,1330011.0
Stafford School District,6680,347,169,789,1275,1043,799.0,42,11615,2007,1340011.0
Stamford Academy District,7278,218,0,2650,6864,1636,,482,19370,2007,2820013.0
Stamford School District,8799,263,744,937,1751,1356,663.0,0,14856,2007,1350011.0
Sterling School District,7089,304,56,362,998,784,811.0,66,11488,2007,1360011.0
Stonington School District,6287,145,581,797,1041,1403,691.0,143,11439,2007,1370011.0
Stratford School District,6590,224,321,901,1071,1211,524.0,183,11353,2007,1380011.0
Suffield School District,6361,219,73,635,1273,980,400.0,47,10334,2007,1390011.0
The Bridge Academy District,5972,412,15,663,1132,842,,335,9452,2007,2690013.0
Thomaston School District,6577,277,16,575,1288,1426,597.0,200,10609,2007,1400011.0
Thompson School District,5234,264,142,595,1565,977,581.0,181,10429,2007,1410011.0
Tolland School District,5882,159,326,751,906,1031,576.0,104,10166,2007,1420011.0
Torrington School District,6668,144,367,678,1053,1284,656.0,140,11585,2007,1430011.0
Trailblazers Academy District,8534,88,0,2622,5526,589,,797,18239,2007,2780013.0
Trumbull School District,6260,188,608,781,1319,1230,514.0,144,11270,2007,1440011.0
Union School District,7183,498,31,510,1808,1003,1528.0,0,11628,2007,1450011.0
Vernon School District,7170,205,378,760,984,1196,564.0,124,11949,2007,1460011.0
Voluntown School District,7023,339,96,1325,1521,1085,902.0,144,13984,2007,1470011.0
Wallingford School District,6415,150,372,764,1563,1042,685.0,176,11484,2007,1480011.0
Waterbury School District,6581,225,1177,611,1049,1150,553.0,394,12035,2007,1510011.0
Waterford School District,7231,409,229,876,1229,1617,625.0,269,11925,2007,1520011.0
Watertown School District,5455,147,163,365,1195,1176,462.0,11,9255,2007,1530011.0
West Hartford School District,6654,158,846,689,1215,1331,391.0,120,11652,2007,1550011.0
West Haven School District,7264,204,195,394,1036,1367,493.0,169,10777,2007,1560011.0
Westbrook School District,6756,395,211,987,1291,1446,324.0,474,12068,2007,1540011.0
Weston School District,8899,308,645,893,1434,2166,655.0,402,15694,2007,1570011.0
Westport School District,8321,370,766,1084,1617,1920,714.0,203,15409,2007,1580011.0
Wethersfield School District,7086,235,271,493,1023,1380,527.0,178,11551,2007,1590011.0
Willington School District,7834,252,326,620,1611,1063,447.0,2,12352,2007,1600011.0
Wilton School District,8000,215,664,1236,1391,1562,617.0,0,14013,2007,1610011.0
Winchester School District,7862,314,137,253,1451,1157,572.0,37,12773,2007,1620011.0
Windham School District,7980,252,280,822,1060,1149,509.0,149,12630,2007,1630011.0
Windsor Locks School District,7971,317,462,779,1097,1870,499.0,219,12948,2007,1650011.0
Windsor School District,7515,226,548,1080,1694,1265,568.0,133,12540,2007,1640011.0
Wolcott School District,6413,235,183,391,1121,1197,501.0,206,9797,2007,1660011.0
Woodbridge School District,8822,256,51,172,1805,1278,279.0,15,13503,2007,1670011.0
Woodstock School District,6263,261,173,639,773,898,517.0,15,10106,2007,1690011.0
Achievement First Bridgeport Academy District,3504,1915,318,1406,7063,852,,757,15815,2008,2850013.0
Amistad Academy District,4573,1028,324,1514,4331,737,,701,13208,2008,2790013.0
Andover School District,6631,347,339,458,1576,1005,235.0,0,10833,2008,10011.0
Ansonia School District,6371,327,311,358,1281,903,429.0,224,10261,2008,20011.0
Ashford School District,8799,400,52,142,1373,1157,608.0,56,13880,2008,30011.0
Avon School District,6532,175,241,1190,941,1187,469.0,154,11130,2008,40011.0
Barkhamsted School District,6439,186,404,132,1005,1020,399.0,0,10078,2008,50011.0
Berlin School District,6343,278,309,1036,1289,1465,523.0,225,11722,2008,70011.0
Bethany School District,6459,321,516,388,1196,1193,310.0,0,10867,2008,80011.0
Bethel School District,7051,171,908,885,1296,1245,655.0,157,12849,2008,90011.0
Bloomfield School District,8800,603,306,1382,2726,2198,720.0,228,15258,2008,110011.0
Bolton School District,7945,183,605,908,1526,1278,748.0,218,13575,2008,120011.0
Bozrah School District,7988,260,160,690,1672,1323,735.0,196,13992,2008,130011.0
Branford School District,7580,392,579,817,1194,1083,684.0,247,13002,2008,140011.0
Bridgeport School District,7599,311,299,668,1127,1320,576.0,112,12510,2008,150011.0
Bristol School District,6902,210,557,444,1033,1076,566.0,195,11374,2008,170011.0
Brookfield School District,6472,130,524,848,2049,897,500.0,241,11774,2008,180011.0
Brooklyn School District,6381,117,219,851,943,829,779.0,21,10901,2008,190011.0
Canaan School District,11916,552,515,1016,2616,2049,929.0,183,19053,2008,210011.0
Canterbury School District,7759,431,128,583,1281,1869,1210.0,8,14553,2008,220011.0
Canton School District,6748,296,143,884,1627,1736,717.0,33,12550,2008,230011.0
Chaplin School District,9131,352,573,1414,1650,1329,553.0,21,15288,2008,240011.0
Cheshire School District,6566,209,403,723,1052,1161,601.0,193,11241,2008,250011.0
Chester School District,6771,197,121,1585,1768,912,202.0,0,11526,2008,260011.0
Clinton School District,8475,535,359,908,931,1083,664.0,176,13462,2008,270011.0
Colchester School District,6111,212,241,786,1014,953,689.0,131,10558,2008,280011.0
Colebrook School District,8454,160,601,284,2009,1198,349.0,91,13827,2008,290011.0
Columbia School District,8549,418,310,1789,1100,1070,838.0,91,15114,2008,300011.0
Common Ground High School District,7045,239,134,395,1622,709,,866,11072,2008,2680013.0
Cornwall School District,10824,692,1441,1084,2559,2097,1156.0,4,19375,2008,310011.0
Coventry School District,6732,175,277,1093,1105,999,803.0,197,11623,2008,320011.0
Cromwell School District,7823,335,131,527,1396,1187,450.0,146,12387,2008,330011.0
Danbury School District,7675,304,471,717,1054,904,535.0,83,11701,2008,340011.0
Darien School District,8902,279,501,466,1356,1491,559.0,329,14147,2008,350011.0
Deep River School District,7034,226,122,1415,1623,1187,242.0,1,12960,2008,360011.0
Derby School District,6649,321,263,1009,1468,1116,439.0,191,11513,2008,370011.0
East Granby School District,7924,365,649,666,1797,1291,530.0,196,13688,2008,400011.0
East Haddam School District,6979,297,278,731,1358,1477,800.0,3,12639,2008,410011.0
East Hampton School District,6923,378,277,761,1182,1226,717.0,6,12055,2008,420011.0
East Hartford School District,8153,256,212,360,1483,1235,508.0,85,11485,2008,430011.0
East Haven School District,6047,64,548,1056,1572,1380,562.0,247,11895,2008,440011.0
East Lyme School District,7067,188,490,445,1130,1421,477.0,244,11960,2008,450011.0
East Windsor School District,6970,255,237,424,1752,1152,833.0,108,12074,2008,470011.0
Eastford School District,7004,342,159,2315,1688,1765,765.0,0,14827,2008,390011.0
Easton School District,8247,150,226,166,1326,1225,620.0,0,12670,2008,460011.0
Ellington School District,6660,206,298,487,850,1103,609.0,133,10768,2008,480011.0
Elm City College Preparatory School,3188,929,313,1105,2487,630,,601,9253,2008,2810013.0
Enfield School District,7183,186,272,841,1143,1183,496.0,246,11712,2008,490011.0
Essex School District,6954,302,120,1138,1620,1103,239.0,0,11469,2008,500011.0
Explorations District,5393,213,357,409,2361,1970,,86,10984,2008,2720013.0
Fairfield School District,7847,244,851,1056,1564,1612,693.0,200,14323,2008,510011.0
Farmington School District,6744,259,435,850,1217,1439,607.0,215,12270,2008,520011.0
Franklin School District,7833,500,0,578,1670,1633,670.0,36,13605,2008,530011.0
Glastonbury School District,6477,267,597,653,1182,1321,606.0,169,11391,2008,540011.0
Granby School District,6397,397,355,820,1118,1340,544.0,250,11270,2008,560011.0
Greenwich School District,11045,342,372,1096,1672,1902,468.0,0,17328,2008,570011.0
Griswold School District,6204,280,167,423,1529,1361,738.0,231,11098,2008,580011.0
Groton School District,7734,428,571,1169,1379,1586,738.0,0,13724,2008,590011.0
Guilford School District,7015,206,302,746,1564,1170,706.0,175,12468,2008,600011.0
Hamden School District,8151,124,253,1107,1317,1410,775.0,110,13460,2008,620011.0
Hampton School District,7834,473,559,989,1903,1332,595.0,95,15484,2008,630011.0
Hartford School District,8371,368,494,1235,1856,1689,1017.0,0,15492,2008,640011.0
Hartland School District,6549,340,714,1570,1595,1053,765.0,495,10347,2008,650011.0
Hebron School District,5987,250,323,712,862,940,258.0,0,9585,2008,670011.0
Highville Charter School District,4150,121,89,228,2356,2116,,57,9116,2008,2860013.0
Integrated Day Charter School District,5447,204,650,235,1442,1046,,167,9205,2008,2640013.0
Interdistrict School for Arts and Comm District,6288,162,323,272,1782,1083,,58,9991,2008,2650013.0
Jumoke Academy District,4277,554,161,1418,2502,1289,,1,10201,2008,2610013.0
Kent School District,9686,452,424,943,1857,1746,820.0,121,16989,2008,680011.0
Killingly School District,7471,291,607,715,1458,1209,700.0,16,13115,2008,690011.0
Lebanon School District,5867,234,290,806,1206,1243,697.0,125,10915,2008,710011.0
Ledyard School District,6724,252,304,666,1465,923,745.0,142,11441,2008,720011.0
Lisbon School District,7533,195,60,252,700,1278,748.0,30,11607,2008,730011.0
Litchfield School District,7077,210,825,1028,1296,1693,726.0,274,13461,2008,740011.0
Madison School District,6234,324,481,874,949,1199,675.0,296,11392,2008,760011.0
Manchester School District,8093,307,414,906,1501,1571,504.0,193,13547,2008,770011.0
Mansfield School District,9523,446,536,978,1941,1444,445.0,59,15771,2008,780011.0
Marlborough School District,7019,192,339,283,1136,862,318.0,0,10679,2008,790011.0
Meriden School District,6931,212,164,926,1345,1406,470.0,89,11977,2008,800011.0
Middletown School District,8191,217,263,648,1064,1469,1154.0,255,13755,2008,830011.0
Milford School District,8765,434,268,418,1179,1440,399.0,114,13444,2008,840011.0
Monroe School District,6806,136,440,809,1100,1318,551.0,115,11373,2008,850011.0
Montville School District,7278,484,323,749,1124,1362,630.0,191,12178,2008,860011.0
Naugatuck School District,7842,200,111,861,1317,1328,513.0,177,12286,2008,880011.0
New Beginnings Inc Family Academy District,4946,613,642,895,1495,1020,,737,10371,2008,2800013.0
New Britain School District,7761,318,312,405,1085,1306,910.0,36,12534,2008,890011.0
New Canaan School District,8852,195,307,1435,2380,2121,872.0,271,16942,2008,900011.0
New Fairfield School District,6671,220,233,832,1170,1136,460.0,140,11110,2008,910011.0
New Hartford School District,7283,151,80,456,1094,1437,528.0,7,11771,2008,920011.0
New Haven School District,9149,262,506,420,1861,1701,956.0,160,15413,2008,930011.0
New London School District,8669,311,695,1078,1821,1895,723.0,166,13816,2008,950011.0
New Milford School District,6726,155,246,743,1078,1141,802.0,185,11429,2008,960011.0
Newington School District,6745,400,373,731,1263,1675,604.0,162,12285,2008,940011.0
Newtown School District,6498,255,305,757,1106,1542,790.0,141,11591,2008,970011.0
Norfolk School District,7928,280,619,287,2306,2239,688.0,4,14880,2008,980011.0
North Branford School District,5652,263,645,936,1236,1256,776.0,241,11096,2008,990011.0
North Canaan School District,8837,339,32,729,1855,1414,614.0,4,14144,2008,1000011.0
North Haven School District,5916,121,253,1063,1374,910,700.0,114,10861,2008,1010011.0
North Stonington School District,8809,522,167,862,2017,1288,969.0,41,14574,2008,1020011.0
Norwalk School District,9372,285,372,809,1645,1409,530.0,132,14853,2008,1030011.0
Norwich School District,7450,218,74,1285,1006,1364,866.0,0,13797,2008,1040011.0
Odyssey Community School District,5677,339,463,177,1170,1172,,0,8998,2008,2630013.0
Old Saybrook School District,6707,160,906,708,1254,1586,398.0,244,12297,2008,1060011.0
Orange School District,7789,297,42,886,1325,1161,341.0,22,12295,2008,1070011.0
Oxford School District,6331,285,27,588,1811,1236,637.0,132,11226,2008,1080011.0
Park City Prep Charter School District,3323,411,10,423,2234,1468,,224,8113,2008,2830013.0
Plainfield School District,6550,216,367,887,1148,1124,833.0,100,12095,2008,1090011.0
Plainville School District,7509,315,391,604,1245,1337,656.0,0,12665,2008,1100011.0
Plymouth School District,6454,274,211,640,994,1193,1090.0,200,11025,2008,1110011.0
Pomfret School District,7194,288,237,200,1068,956,748.0,0,11817,2008,1120011.0
Portland School District,6762,498,492,764,1408,1614,531.0,166,12488,2008,1130011.0
Preston School District,9024,512,172,781,1179,1516,820.0,50,15329,2008,1140011.0
Putnam School District,7127,275,220,1260,1449,1396,619.0,189,13387,2008,1160011.0
Redding School District,9937,245,278,183,1338,1448,655.0,4,14918,2008,1170011.0
Regional School District 01,8884,389,683,1250,1729,2015,233.0,640,17223,2008,2010012.0
Regional School District 04,7542,299,381,797,2636,1654,521.0,51,14396,2008,2040012.0
Regional School District 05,7339,225,467,610,2042,1451,739.0,385,13591,2008,2050012.0
Regional School District 06,7526,420,481,949,1635,1750,726.0,189,13767,2008,2060012.0
Regional School District 07,7598,515,224,666,1381,1606,1189.0,337,13796,2008,2070012.0
Regional School District 08,7156,226,511,575,1144,1175,660.0,198,12310,2008,2080012.0
Regional School District 09,11231,318,304,170,1424,2099,869.0,0,17672,2008,2090012.0
Regional School District 10,6032,305,795,647,957,1259,745.0,0,11246,2008,2100012.0
Regional School District 11,9059,422,351,1354,3484,2450,1006.0,577,18864,2008,2110012.0
Regional School District 12,9445,585,764,1311,1715,2578,1208.0,352,18198,2008,2120012.0
Regional School District 13,7195,172,643,1190,1086,1461,815.0,172,13020,2008,2130012.0
Regional School District 14,6956,213,680,1006,1278,1302,711.0,299,12953,2008,2140012.0
Regional School District 15,6705,245,290,1048,1063,1434,731.0,257,11886,2008,2150012.0
Regional School District 16,5926,240,831,752,1286,1181,679.0,162,11230,2008,2160012.0
Regional School District 17,6814,247,489,683,1246,2034,804.0,201,12834,2008,2170012.0
Regional School District 18,7814,297,913,1234,1851,2452,698.0,333,16144,2008,2180012.0
Regional School District 19,8107,450,292,934,1767,1231,998.0,616,14768,2008,2190012.0
Ridgefield School District,7711,179,762,657,1015,1736,798.0,60,13457,2008,1180011.0
Rocky Hill School District,6970,190,515,716,982,1450,427.0,16,11678,2008,1190011.0
Salem School District,8510,687,93,253,1965,1303,860.0,0,14457,2008,1210011.0
Salisbury School District,10770,399,584,803,1698,2177,750.0,17,17815,2008,1220011.0
Scotland School District,7939,482,207,695,1291,889,560.0,67,12435,2008,1230011.0
Seymour School District,6087,293,275,682,1493,1324,475.0,175,10911,2008,1240011.0
Sharon School District,10367,346,693,1288,2524,2136,788.0,177,19427,2008,1250011.0
Shelton School District,6406,324,443,896,1059,1366,553.0,128,11346,2008,1260011.0
Sherman School District,8856,245,570,98,1252,1102,691.0,76,11888,2008,1270011.0
Side By Side Charter School District,5062,652,199,1738,1753,1410,,0,10813,2008,2700013.0
Simsbury School District,7134,258,778,789,964,1191,472.0,122,11917,2008,1280011.0
Somers School District,6677,205,226,608,1026,1110,601.0,168,11049,2008,1290011.0
South Windsor School District,6828,356,345,806,1214,1045,676.0,243,11704,2008,1320011.0
Southington School District,7024,199,142,783,1175,1021,446.0,96,11332,2008,1310011.0
Sprague School District,6818,340,122,564,1624,1153,995.0,34,13267,2008,1330011.0
Stafford School District,7166,328,231,933,1382,1239,911.0,39,12904,2008,1340011.0
Stamford Academy District,6367,87,0,3489,6286,1370,,461,18408,2008,2820013.0
Stamford School District,9088,241,959,983,1754,1422,711.0,0,15591,2008,1350011.0
Sterling School District,7400,255,164,341,1012,987,770.0,85,12386,2008,1360011.0
Stonington School District,6772,159,634,751,1072,1490,743.0,176,12227,2008,1370011.0
Stratford School District,6797,160,401,1031,1091,1223,544.0,197,11827,2008,1380011.0
Suffield School District,6837,220,80,722,1416,899,431.0,34,11140,2008,1390011.0
The Bridge Academy District,6536,398,38,766,1018,864,,346,10057,2008,2690013.0
Thomaston School District,6694,309,17,545,1348,1205,596.0,219,10685,2008,1400011.0
Thompson School District,5372,278,216,715,1658,1280,637.0,203,11169,2008,1410011.0
Tolland School District,6050,238,331,804,1057,989,590.0,92,10563,2008,1420011.0
Torrington School District,7283,113,406,715,1103,1313,683.0,152,12520,2008,1430011.0
Trailblazers Academy District,9047,49,0,3319,5629,728,,767,19700,2008,2780013.0
Trumbull School District,6650,223,543,869,1415,1225,539.0,144,11847,2008,1440011.0
Union School District,7966,615,272,731,1870,1172,1625.0,0,12968,2008,1450011.0
Vernon School District,7408,224,392,834,1021,1282,645.0,133,12555,2008,1460011.0
Voluntown School District,7558,683,264,1425,1847,1363,1044.0,185,15877,2008,1470011.0
Wallingford School District,6766,156,420,811,1723,1140,691.0,188,12243,2008,1480011.0
Waterbury School District,6915,347,1086,714,1169,1134,550.0,441,12650,2008,1510011.0
