district,district_code,school,school_code,low_grade,high_grade,enrollment,pct_high_needs,ppe_instruction,ppe_support_services_students,ppe_improvement_of_instruction,ppe_library_and_media_services,ppe_support_services_instruction,ppe_support_services_school_based_administration,ppe_operation_and_maintenance_of_plant,ppe_transportation_other_than_to_from_home,ppe_enterprise_operations,ppe_minor_school_construction,ppe_total,fiscal_year,cpi_u,deflator,ppe_instruction_real,ppe_support_services_students_real,ppe_improvement_of_instruction_real,ppe_library_and_media_services_real,ppe_support_services_instruction_real,ppe_support_services_school_based_administration_real,ppe_operation_and_maintenance_of_plant_real,ppe_transportation_other_than_to_from_home_real,ppe_enterprise_operations_real,ppe_minor_school_construction_real,ppe_total_real
New Haven School District,0930011,John C. Daniels,0931311,PK,8,522,82.6,13312,585,542,5,2,1044,1832,21,40,,17381,2025,321.962,1.0,13312.0,585.0,542.0,5.0,2.0,1044.0,1832.0,21.0,40.0,,17381.0
New Haven School District,0930011,John S. Martinez Sea and Sky STEM School,0930811,PK,8,486,94.7,9160,1004,1040,5,2,1124,1761,21,40,,14157,2025,321.962,1.0,9160.0,1004.0,1040.0,5.0,2.0,1124.0,1761.0,21.0,40.0,,14157.0
New Haven School District,0930011,King/Robinson Magnet School,0933011,PK,8,412,85.7,12603,828,1022,5,2,1687,1956,21,40,,18163,2025,321.962,1.0,12603.0,828.0,1022.0,5.0,2.0,1687.0,1956.0,21.0,40.0,,18163.0
New Haven School District,0930011,Lincoln-Bassett School,0932011,PK,6,236,93.6,10473,1340,781,5,2,2081,2280,21,40,,17022,2025,321.962,1.0,10473.0,1340.0,781.0,5.0,2.0,2081.0,2280.0,21.0,40.0,,17022.0
New Haven School District,0930011,Mauro-Sheridan Magnet School,0931911,PK,8,482,76.8,12301,585,530,5,2,1581,1702,21,40,,16766,2025,321.962,1.0,12301.0,585.0,530.0,5.0,2.0,1581.0,1702.0,21.0,40.0,,16766.0
New Haven School District,0930011,Metropolitan Business Academy,0936011,9,12,380,84.2,13105,623,811,5,302,2202,1723,21,40,,18832,2025,321.962,1.0,13105.0,623.0,811.0,5.0,302.0,2202.0,1723.0,21.0,40.0,,18832.0
New Haven School District,0930011,Nathan Hale School,0931411,PK,8,506,71.5,11422,856,740,5,2,1029,1553,21,40,,15666,2025,321.962,1.0,11422.0,856.0,740.0,5.0,2.0,1029.0,1553.0,21.0,40.0,,15666.0
New Haven School District,0930011,New Haven Academy,0937011,9,12,321,68.2,12450,1052,502,5,2,1784,1920,21,40,,17774,2025,321.962,1.0,12450.0,1052.0,502.0,5.0,2.0,1784.0,1920.0,21.0,40.0,,17774.0
New Haven School District,0930011,Roberto Clemente Leadership Academy for Global Awareness,0934211,K,8,434,96.1,11342,1018,719,5,281,996,1576,21,40,,15997,2025,321.962,1.0,11342.0,1018.0,719.0,5.0,281.0,996.0,1576.0,21.0,40.0,,15997.0
New Haven School District,0930011,Ross/Woodward School,0931011,PK,8,562,82.9,12335,1065,540,5,2,1529,1820,21,40,,17356,2025,321.962,1.0,12335.0,1065.0,540.0,5.0,2.0,1529.0,1820.0,21.0,40.0,,17356.0
New Haven School District,0930011,Sound School,0936711,9,12,332,63.3,21977,995,517,5,2,877,1912,21,40,,26345,2025,321.962,1.0,21977.0,995.0,517.0,5.0,2.0,877.0,1912.0,21.0,40.0,,26345.0
New Haven School District,0930011,Truman School,0932911,PK,8,460,95.2,9969,874,760,5,2,1073,1748,21,40,,14491,2025,321.962,1.0,9969.0,874.0,760.0,5.0,2.0,1073.0,1748.0,21.0,40.0,,14491.0
New Haven School District,0930011,Wexler/Grant - Lincoln/Bassett Community School,0933211,PK,8,194,95.4,13965,1427,901,5,2,1531,2634,21,40,,20526,2025,321.962,1.0,13965.0,1427.0,901.0,5.0,2.0,1531.0,2634.0,21.0,40.0,,20526.0
New Haven School District,0930011,Wilbur Cross High School,0936111,9,12,1742,86.6,12090,843,607,5,69,872,1349,21,40,,15896,2025,321.962,1.0,12090.0,843.0,607.0,5.0,69.0,872.0,1349.0,21.0,40.0,,15896.0
New Haven School District,0930011,Worthington Hooker School,0933811,K,8,420,47.9,10646,632,519,5,2,1263,2159,21,40,,15287,2025,321.962,1.0,10646.0,632.0,519.0,5.0,2.0,1263.0,2159.0,21.0,40.0,,15287.0
New London School District,0950011,Bennie Dover Jackson Middle School,0955111,5,8,343,95.6,12084,2559,234,0,227,1319,1511,9,57,,18000,2025,321.962,1.0,12084.0,2559.0,234.0,0.0,227.0,1319.0,1511.0,9.0,57.0,,18000.0
New London School District,0950011,C.B. Jennings International Elementary Magnet,0950311,PK,5,406,95.3,12821,2196,356,0,343,1373,2466,6,196,,19756,2025,321.962,1.0,12821.0,2196.0,356.0,0.0,343.0,1373.0,2466.0,6.0,196.0,,19756.0
New London School District,0950011,Nathan Hale Arts Magnet School,0950911,PK,5,445,83.1,12726,2199,269,0,318,1115,2199,1,224,,19051,2025,321.962,1.0,12726.0,2199.0,269.0,0.0,318.0,1115.0,2199.0,1.0,224.0,,19051.0
New London School District,0950011,New London High School,0956111,9,12,605,94.4,9265,2257,55,0,303,1570,2929,110,558,,17047,2025,321.962,1.0,9265.0,2257.0,55.0,0.0,303.0,1570.0,2929.0,110.0,558.0,,17047.0
New London School District,0950011,New London Visual and Performing Arts Magnet Pathway,0951411,6,12,268,85.8,10843,2426,155,0,260,1429,2135,53,278,,17581,2025,321.962,1.0,10843.0,2426.0,155.0,0.0,260.0,1429.0,2135.0,53.0,278.0,,17581.0
New London School District,0950011,Science and Technology Magnet Pathway for High School Grades,0951311,9,12,171,80.7,9265,2257,55,0,303,1570,2929,110,558,,17047,2025,321.962,1.0,9265.0,2257.0,55.0,0.0,303.0,1570.0,2929.0,110.0,558.0,,17047.0
New London School District,0950011,Science and Technology Magnet Pathway for Middle Grades,0951211,5,8,133,87.2,12084,2559,234,0,227,1319,1511,9,57,,18000,2025,321.962,1.0,12084.0,2559.0,234.0,0.0,227.0,1319.0,1511.0,9.0,57.0,,18000.0
New London School District,0950011,Winthrop STEM Elementary Magnet School,0950811,PK,5,449,78.8,11947,1728,272,22,319,1088,1773,0,73,,17221,2025,321.962,1.0,11947.0,1728.0,272.0,22.0,319.0,1088.0,1773.0,0.0,73.0,,17221.0
New Milford School District,0960011,Hill And Plain School,0960511,PK,2,371,53.1,10659,1254,6,370,68,1186,1199,0,3,,14746,2025,321.962,1.0,10659.0,1254.0,6.0,370.0,68.0,1186.0,1199.0,0.0,3.0,,14746.0
New Milford School District,0960011,New Milford High School,0966111,9,12,1150,41.0,10871,1330,6,148,49,1011,1158,251,926,,15749,2025,321.962,1.0,10871.0,1330.0,6.0,148.0,49.0,1011.0,1158.0,251.0,926.0,,15749.0
New Milford School District,0960011,Northville Elementary School,0960811,PK,2,428,47.4,10544,1380,6,326,59,971,1172,0,3,,14462,2025,321.962,1.0,10544.0,1380.0,6.0,326.0,59.0,971.0,1172.0,0.0,3.0,,14462.0
New Milford School District,0960011,Sarah Noble Intermediate School,0960911,3,5,753,49.1,10825,1282,6,223,69,1374,1126,0,80,,14984,2025,321.962,1.0,10825.0,1282.0,6.0,223.0,69.0,1374.0,1126.0,0.0,80.0,,14984.0
New Milford School District,0960011,Schaghticoke Middle School,0965211,6,8,791,47.7,11226,1359,6,147,382,1276,962,43,175,,15579,2025,321.962,1.0,11226.0,1359.0,6.0,147.0,382.0,1276.0,962.0,43.0,175.0,,15579.0
Newington School District,0940011,Anna Reynolds School,0940611,PK,4,407,49.9,13449,1539,113,346,0,1238,1955,0,16,,18656,2025,321.962,1.0,13449.0,1539.0,113.0,346.0,0.0,1238.0,1955.0,0.0,16.0,,18656.0
Newington School District,0940011,Elizabeth Green School,0940211,PK,4,278,53.6,14341,2107,113,547,0,2025,2415,0,17,,21564,2025,321.962,1.0,14341.0,2107.0,113.0,547.0,0.0,2025.0,2415.0,0.0,17.0,,21564.0
Newington School District,0940011,John Paterson School,0940811,PK,4,394,50.8,12733,1885,113,300,0,1351,1627,0,21,,18029,2025,321.962,1.0,12733.0,1885.0,113.0,300.0,0.0,1351.0,1627.0,0.0,21.0,,18029.0
Newington School District,0940011,John Wallace Middle School,0945311,5,8,610,44.9,12821,1455,113,26,0,1264,2266,0,57,,18002,2025,321.962,1.0,12821.0,1455.0,113.0,26.0,0.0,1264.0,2266.0,0.0,57.0,,18002.0
Newington School District,0940011,Martin Kellogg Middle School,0945111,5,8,567,51.0,13527,1840,113,224,0,1226,2904,0,79,,19913,2025,321.962,1.0,13527.0,1840.0,113.0,224.0,0.0,1226.0,2904.0,0.0,79.0,,19913.0
Newington School District,0940011,Newington High School,0946111,9,12,1255,44.8,12624,1687,121,225,0,1713,2505,0,695,,19570,2025,321.962,1.0,12624.0,1687.0,121.0,225.0,0.0,1713.0,2505.0,0.0,695.0,,19570.0
Newington School District,0940011,Ruth Chaffee School,0940711,PK,4,317,46.4,11900,2070,113,514,0,1521,2481,0,16,,18615,2025,321.962,1.0,11900.0,2070.0,113.0,514.0,0.0,1521.0,2481.0,0.0,16.0,,18615.0
Newtown School District,0970011,Hawley Elementary School,0970111,K,4,281,23.8,12593,1878,243,574,0,1808,2946,2,32,,20076,2025,321.962,1.0,12593.0,1878.0,243.0,574.0,0.0,1808.0,2946.0,2.0,32.0,,20076.0
Newtown School District,0970011,Head O'Meadow Elementary School,0970411,K,4,327,20.5,12317,2277,237,439,0,1538,2448,1,9,,19266,2025,321.962,1.0,12317.0,2277.0,237.0,439.0,0.0,1538.0,2448.0,1.0,9.0,,19266.0
Newtown School District,0970011,Middle Gate Elementary School,0970311,K,4,397,23.9,12086,2331,260,421,0,1470,1885,3,23,,18478,2025,321.962,1.0,12086.0,2331.0,260.0,421.0,0.0,1470.0,1885.0,3.0,23.0,,18478.0
Newtown School District,0970011,Newtown High School,0976111,9,12,1254,26.2,11542,2792,265,321,0,994,2668,139,959,,19681,2025,321.962,1.0,11542.0,2792.0,265.0,321.0,0.0,994.0,2668.0,139.0,959.0,,19681.0
Newtown School District,0970011,Newtown Middle School,0975111,7,8,593,29.0,12319,2439,255,349,0,1154,2358,5,198,,19078,2025,321.962,1.0,12319.0,2439.0,255.0,349.0,0.0,1154.0,2358.0,5.0,198.0,,19078.0
Newtown School District,0970011,Reed Intermediate School,0970511,5,6,583,27.3,11362,2768,234,329,0,1086,2810,1,86,,18676,2025,321.962,1.0,11362.0,2768.0,234.0,329.0,0.0,1086.0,2810.0,1.0,86.0,,18676.0
Newtown School District,0970011,Sandy Hook Elementary School,0970211,K,4,349,25.5,11737,1917,239,349,0,1461,2636,1,12,,18352,2025,321.962,1.0,11737.0,1917.0,239.0,349.0,0.0,1461.0,2636.0,1.0,12.0,,18352.0
Norfolk School District,0980011,Botelle Elementary School,0980111,PK,6,61,39.3,21607,882,149,1818,0,4256,8973,20,0,,37706,2025,321.962,1.0,21607.0,882.0,149.0,1818.0,0.0,4256.0,8973.0,20.0,0.0,,37706.0
North Branford School District,0990011,Jerome Harrison School,0990411,PK,2,385,32.7,10348,1251,1,84,3,925,1144,1,0,,13756,2025,321.962,1.0,10348.0,1251.0,1.0,84.0,3.0,925.0,1144.0,1.0,0.0,,13756.0
North Branford School District,0990011,North Branford High School,0996111,9,12,432,38.7,14549,2148,0,366,43,1947,2547,242,0,,21842,2025,321.962,1.0,14549.0,2148.0,0.0,366.0,43.0,1947.0,2547.0,242.0,0.0,,21842.0
North Branford School District,0990011,North Branford Intermediate School,0995111,6,8,352,32.1,11191,1738,0,413,3,1700,2243,34,0,,17322,2025,321.962,1.0,11191.0,1738.0,0.0,413.0,3.0,1700.0,2243.0,34.0,0.0,,17322.0
North Branford School District,0990011,Totoket Valley Elementary School,0990611,3,5,368,35.3,9369,1103,0,317,3,958,1112,9,0,,12871,2025,321.962,1.0,9369.0,1103.0,0.0,317.0,3.0,958.0,1112.0,9.0,0.0,,12871.0
North Canaan School District,1000011,North Canaan Elementary School,1000111,PK,8,245,53.9,18836,324,192,27,176,1256,2171,34,143,,23159,2025,321.962,1.0,18836.0,324.0,192.0,27.0,176.0,1256.0,2171.0,34.0,143.0,,23159.0
North Haven School District,1010011,Clintonville Elementary School,1010811,K,5,372,39.0,10605,2396,160,297,89,1039,2010,1,4,,16601,2025,321.962,1.0,10605.0,2396.0,160.0,297.0,89.0,1039.0,2010.0,1.0,4.0,,16601.0
North Haven School District,1010011,Green Acres Elementary School,1010711,PK,5,404,40.3,11369,2077,164,320,100,939,1789,2,4,,16766,2025,321.962,1.0,11369.0,2077.0,164.0,320.0,100.0,939.0,1789.0,2.0,4.0,,16766.0
North Haven School District,1010011,Montowese Elementary School,1010211,K,5,305,39.3,12200,2101,158,393,104,1196,1980,2,4,,18138,2025,321.962,1.0,12200.0,2101.0,158.0,393.0,104.0,1196.0,1980.0,2.0,4.0,,18138.0
North Haven School District,1010011,North Haven High School,1016111,9,12,944,32.4,12218,1853,164,311,165,1938,1718,16,864,,19248,2025,321.962,1.0,12218.0,1853.0,164.0,311.0,165.0,1938.0,1718.0,16.0,864.0,,19248.0
North Haven School District,1010011,North Haven Middle School,1015211,6,8,752,33.2,11520,1433,187,242,168,1354,1647,0,155,,16707,2025,321.962,1.0,11520.0,1433.0,187.0,242.0,168.0,1354.0,1647.0,0.0,155.0,,16707.0
North Haven School District,1010011,Ridge Road Elementary School,1010311,K,5,415,27.0,10567,1904,158,232,90,980,1773,3,4,,15713,2025,321.962,1.0,10567.0,1904.0,158.0,232.0,90.0,980.0,1773.0,3.0,4.0,,15713.0
North Stonington School District,1020011,North Stonington Elementary School,1020111,PK,6,379,29.8,12289,1220,3,278,0,731,2636,0,0,,17157,2025,321.962,1.0,12289.0,1220.0,3.0,278.0,0.0,731.0,2636.0,0.0,0.0,,17157.0
North Stonington School District,1020011,Wheeler High School,1026111,7,12,344,26.2,15258,1858,4,345,0,1728,566,266,0,,20026,2025,321.962,1.0,15258.0,1858.0,4.0,345.0,0.0,1728.0,566.0,266.0,0.0,,20026.0
Norwalk School District,1030011,Brien McMahon High School,1036211,9,12,1739,65.7,11391,2095,35,1,951,825,2772,0,0,,18070,2025,321.962,1.0,11391.0,2095.0,35.0,1.0,951.0,825.0,2772.0,0.0,0.0,,18070.0
Norwalk School District,1030011,Brookside Elementary School,1030211,PK,5,408,74.5,15219,1729,34,68,744,1070,2727,0,0,,21591,2025,321.962,1.0,15219.0,1729.0,34.0,68.0,744.0,1070.0,2727.0,0.0,0.0,,21591.0
Norwalk School District,1030011,Center for Global Studies,1030511,9,12,283,46.6,14653,2021,31,0,826,1874,1998,0,0,,21403,2025,321.962,1.0,14653.0,2021.0,31.0,0.0,826.0,1874.0,1998.0,0.0,0.0,,21403.0
Norwalk School District,1030011,Concord Magnet School,1030311,K,8,388,43.6,14143,1712,34,4,719,1186,1945,0,0,,19742,2025,321.962,1.0,14143.0,1712.0,34.0,4.0,719.0,1186.0,1945.0,0.0,0.0,,19742.0
Norwalk School District,1030011,Cranbury Elementary School,1030411,PK,5,410,51.7,15991,2046,47,7,719,986,2425,0,0,,22221,2025,321.962,1.0,15991.0,2046.0,47.0,7.0,719.0,986.0,2425.0,0.0,0.0,,22221.0
Norwalk School District,1030011,Fox Run Elementary School,1032011,PK,5,398,68.1,17829,1977,34,71,719,1111,2211,0,0,,23952,2025,321.962,1.0,17829.0,1977.0,34.0,71.0,719.0,1111.0,2211.0,0.0,0.0,,23952.0
Norwalk School District,1030011,Jefferson Marine Science Elementary School,1030711,PK,5,457,83.6,14297,1800,86,0,1001,1285,2316,0,0,,20784,2025,321.962,1.0,14297.0,1800.0,86.0,0.0,1001.0,1285.0,2316.0,0.0,0.0,,20784.0
Norwalk School District,1030011,Kendall College & Career Academy,1030811,PK,5,416,83.7,15253,1706,58,46,1869,1086,2132,0,0,,22150,2025,321.962,1.0,15253.0,1706.0,58.0,46.0,1869.0,1086.0,2132.0,0.0,0.0,,22150.0
Norwalk School District,1030011,Marvin Elementary School,1032211,K,5,375,67.7,16155,2029,34,82,831,1177,2137,0,0,,22445,2025,321.962,1.0,16155.0,2029.0,34.0,82.0,831.0,1177.0,2137.0,0.0,0.0,,22445.0
Norwalk School District,1030011,Naramake Elementary School,1032111,PK,5,358,62.3,15199,2172,36,0,779,1207,2433,0,0,,21826,2025,321.962,1.0,15199.0,2172.0,36.0,0.0,779.0,1207.0,2433.0,0.0,0.0,,21826.0
Norwalk School District,1030011,Nathan Hale Middle School,1035211,6,8,499,66.9,16049,2044,36,10,1025,915,2715,0,0,,22795,2025,321.962,1.0,16049.0,2044.0,36.0,10.0,1025.0,915.0,2715.0,0.0,0.0,,22795.0
Norwalk School District,1030011,Norwalk Early Childhood Center,1030111,PK,PK,187,89.8,12636,3164,87,0,719,1102,1677,0,0,,19385,2025,321.962,1.0,12636.0,3164.0,87.0,0.0,719.0,1102.0,1677.0,0.0,0.0,,19385.0
Norwalk School District,1030011,Norwalk High School,1036111,9,12,1494,69.5,12933,1994,38,22,1035,808,3100,0,0,,19930,2025,321.962,1.0,12933.0,1994.0,38.0,22.0,1035.0,808.0,3100.0,0.0,0.0,,19930.0
Norwalk School District,1030011,P-TECH Norwalk,1030911,9,12,388,57.7,10333,1813,31,15,719,696,2027,0,0,,15634,2025,321.962,1.0,10333.0,1813.0,31.0,15.0,719.0,696.0,2027.0,0.0,0.0,,15634.0
Norwalk School District,1030011,Ponus Ridge STEAM Academy,1035311,6,8,637,75.8,15123,2085,38,4,1260,765,3008,0,0,,22283,2025,321.962,1.0,15123.0,2085.0,38.0,4.0,1260.0,765.0,3008.0,0.0,0.0,,22283.0
Norwalk School District,1030011,Roton Middle School,1035511,6,8,463,63.9,15125,2256,40,25,1304,983,2866,0,0,,22598,2025,321.962,1.0,15125.0,2256.0,40.0,25.0,1304.0,983.0,2866.0,0.0,0.0,,22598.0
Norwalk School District,1030011,Rowayton School,1031311,PK,5,402,42.3,15395,1952,43,25,719,1099,2402,0,0,,21635,2025,321.962,1.0,15395.0,1952.0,43.0,25.0,719.0,1099.0,2402.0,0.0,0.0,,21635.0
Norwalk School District,1030011,Silvermine Dual Language Magnet School,1032311,K,5,428,71.3,12314,1794,40,3,1263,1036,2491,0,0,,18941,2025,321.962,1.0,12314.0,1794.0,40.0,3.0,1263.0,1036.0,2491.0,0.0,0.0,,18941.0
Norwalk School District,1030011,South Norwalk Elementary School,1031511,PK,5,179,91.6,13716,2617,204,0,719,2165,2268,0,0,,21689,2025,321.962,1.0,13716.0,2617.0,204.0,0.0,719.0,2165.0,2268.0,0.0,0.0,,21689.0
Norwalk School District,1030011,Tracey Magnet School,1031411,PK,5,434,77.4,14859,2090,31,64,951,1009,1879,0,0,,20883,2025,321.962,1.0,14859.0,2090.0,31.0,64.0,951.0,1009.0,1879.0,0.0,0.0,,20883.0
Norwalk School District,1030011,West Rocks Middle School,1035411,6,8,657,68.8,14114,1694,106,17,937,1048,2559,0,0,,20476,2025,321.962,1.0,14114.0,1694.0,106.0,17.0,937.0,1048.0,2559.0,0.0,0.0,,20476.0
Norwalk School District,1030011,Wolfpit Integrated Arts Elementary School,1032411,PK,5,341,48.4,14216,2143,31,0,836,1262,1951,0,0,,20439,2025,321.962,1.0,14216.0,2143.0,31.0,0.0,836.0,1262.0,1951.0,0.0,0.0,,20439.0
Norwich School District,1040011,John B. Stanton School,1041411,K,5,382,88.7,14163,1537,52,0,2,626,407,12,0,,16799,2025,321.962,1.0,14163.0,1537.0,52.0,0.0,2.0,626.0,407.0,12.0,0.0,,16799.0
Norwich School District,1040011,Kelly STEAM Magnet Middle School,1045111,6,8,593,80.3,12976,1274,157,0,2,598,572,11,0,,15591,2025,321.962,1.0,12976.0,1274.0,157.0,0.0,2.0,598.0,572.0,11.0,0.0,,15591.0
Norwich School District,1040011,Moriarty Magnet School,1042011,PK,5,404,81.4,14184,1249,88,0,2,633,435,15,0,,16606,2025,321.962,1.0,14184.0,1249.0,88.0,0.0,2.0,633.0,435.0,15.0,0.0,,16606.0
Norwich School District,1040011,Samuel Huntington School,1040811,PK,5,358,78.8,12590,1696,95,0,3,666,340,6,0,,15395,2025,321.962,1.0,12590.0,1696.0,95.0,0.0,3.0,666.0,340.0,6.0,0.0,,15395.0
Norwich School District,1040011,Teachers' Memorial Middle School,1045211,6,8,447,90.2,15895,1555,180,0,2,739,435,26,0,,18833,2025,321.962,1.0,15895.0,1555.0,180.0,0.0,2.0,739.0,435.0,26.0,0.0,,18833.0
Norwich School District,1040011,Thomas W. Mahan School,1041711,PK,5,257,81.3,18048,1944,113,0,3,1108,365,24,0,,21604,2025,321.962,1.0,18048.0,1944.0,113.0,0.0,3.0,1108.0,365.0,24.0,0.0,,21604.0
Norwich School District,1040011,Uncas Elementary School,1041911,K,5,232,91.4,16032,1203,115,0,2,1061,537,11,0,,18961,2025,321.962,1.0,16032.0,1203.0,115.0,0.0,2.0,1061.0,537.0,11.0,0.0,,18961.0
Norwich School District,1040011,Veterans' Memorial School,1041811,PK,5,290,86.2,14951,1603,51,0,2,928,274,10,0,,17820,2025,321.962,1.0,14951.0,1603.0,51.0,0.0,2.0,928.0,274.0,10.0,0.0,,17820.0
Norwich School District,1040011,Wequonnoc Magnet School,1041511,K,5,197,91.9,15799,1430,51,0,2,1294,410,19,0,,19006,2025,321.962,1.0,15799.0,1430.0,51.0,0.0,2.0,1294.0,410.0,19.0,0.0,,19006.0
Odyssey Community School District,2630013,Odyssey Community School,2635113,PK,8,410,51.7,9547,830,0,127,0,1986,1976,0,0,,14465,2025,321.962,1.0,9547.0,830.0,0.0,127.0,0.0,1986.0,1976.0,0.0,0.0,,14465.0
Old Saybrook School District,1060011,Kathleen E. Goodwin School,1060211,PK,4,383,33.2,13500,1308,793,407,382,1331,2347,5,0,,20073,2025,321.962,1.0,13500.0,1308.0,793.0,407.0,382.0,1331.0,2347.0,5.0,0.0,,20073.0
Old Saybrook School District,1060011,Old Saybrook Middle School,1065211,5,8,307,36.8,16917,2232,653,179,420,1832,3496,104,0,,25834,2025,321.962,1.0,16917.0,2232.0,653.0,179.0,420.0,1832.0,3496.0,104.0,0.0,,25834.0
Old Saybrook School District,1060011,Old Saybrook Senior High School,1066111,9,12,338,39.1,16923,2737,655,397,445,1954,3369,411,0,,26890,2025,321.962,1.0,16923.0,2737.0,655.0,397.0,445.0,1954.0,3369.0,411.0,0.0,,26890.0
Orange School District,1070011,Mary L. Tracy School,1070211,PK,K,195,29.2,8922,3996,0,0,411,1252,3245,0,0,,17826,2025,321.962,1.0,8922.0,3996.0,0.0,0.0,411.0,1252.0,3245.0,0.0,0.0,,17826.0
Orange School District,1070011,Peck Place School,1070511,1,6,386,24.6,10953,2766,0,0,731,749,1680,0,0,,16880,2025,321.962,1.0,10953.0,2766.0,0.0,0.0,731.0,749.0,1680.0,0.0,0.0,,16880.0
Orange School District,1070011,Race Brook School,1070311,1,6,375,30.1,11702,2636,0,0,755,771,1805,0,0,,17669,2025,321.962,1.0,11702.0,2636.0,0.0,0.0,755.0,771.0,1805.0,0.0,0.0,,17669.0
Orange School District,1070011,Turkey Hill School,1070411,1,6,297,25.9,12366,3026,0,0,857,953,1917,0,0,,19119,2025,321.962,1.0,12366.0,3026.0,0.0,0.0,857.0,953.0,1917.0,0.0,0.0,,19119.0
Oxford School District,1080011,Great Oak Elementary School,1080111,3,5,369,30.4,8966,902,15,211,21,1013,975,0,0,,12103,2025,321.962,1.0,8966.0,902.0,15.0,211.0,21.0,1013.0,975.0,0.0,0.0,,12103.0
Oxford School District,1080011,Oxford High School,1086011,9,12,476,28.8,14483,1566,174,152,41,1399,1495,144,805,,20258,2025,321.962,1.0,14483.0,1566.0,174.0,152.0,41.0,1399.0,1495.0,144.0,805.0,,20258.0
Oxford School District,1080011,Oxford Middle School,1085111,6,8,371,28.8,13070,1063,31,232,19,1505,928,43,491,,17382,2025,321.962,1.0,13070.0,1063.0,31.0,232.0,19.0,1505.0,928.0,43.0,491.0,,17382.0
Oxford School District,1080011,Quaker Farms School,1080311,PK,2,384,32.3,9578,908,15,295,26,1130,913,0,0,,12866,2025,321.962,1.0,9578.0,908.0,15.0,295.0,26.0,1130.0,913.0,0.0,0.0,,12866.0
Park City Prep Charter School District,2830013,Park City Prep Charter School,2835113,4,8,434,77.6,9808,346,0,284,33,0,3119,0,0,,13589,2025,321.962,1.0,9808.0,346.0,0.0,284.0,33.0,0.0,3119.0,0.0,0.0,,13589.0
Plainfield School District,1090011,Moosup Elementary School,1090111,PK,3,252,65.5,9252,1361,326,169,0,1330,2322,0,0,,14759,2025,321.962,1.0,9252.0,1361.0,326.0,169.0,0.0,1330.0,2322.0,0.0,0.0,,14759.0
Plainfield School District,1090011,Plainfield Central School,1095111,6,8,422,61.8,11338,1516,251,110,0,1289,1872,0,254,,16629,2025,321.962,1.0,11338.0,1516.0,251.0,110.0,0.0,1289.0,1872.0,0.0,254.0,,16629.0
Plainfield School District,1090011,Plainfield High School,1096111,9,12,515,58.3,11744,2274,251,189,0,1322,3087,0,936,,19803,2025,321.962,1.0,11744.0,2274.0,251.0,189.0,0.0,1322.0,3087.0,0.0,936.0,,19803.0
Plainfield School District,1090011,Plainfield Memorial School,1090311,4,5,291,67.4,9235,1875,251,140,0,1132,1758,0,58,,14449,2025,321.962,1.0,9235.0,1875.0,251.0,140.0,0.0,1132.0,1758.0,0.0,58.0,,14449.0
Plainfield School District,1090011,Shepard Hill Elementary School,1090411,PK,3,392,69.1,8149,1046,1786,114,0,805,1854,0,0,,13755,2025,321.962,1.0,8149.0,1046.0,1786.0,114.0,0.0,805.0,1854.0,0.0,0.0,,13755.0
Plainville School District,1100011,Frank T. Wheeler School,1100411,PK,5,262,59.5,12950,284,38,950,2666,1159,1754,19,0,,19821,2025,321.962,1.0,12950.0,284.0,38.0,950.0,2666.0,1159.0,1754.0,19.0,0.0,,19821.0
Plainville School District,1100011,Linden Street School,1100211,PK,5,363,56.5,12269,284,38,703,2666,1016,1820,18,0,,18814,2025,321.962,1.0,12269.0,284.0,38.0,703.0,2666.0,1016.0,1820.0,18.0,0.0,,18814.0
Plainville School District,1100011,Louis Toffolon School,1100511,PK,5,365,48.8,13406,284,38,777,2666,857,1643,21,0,,19693,2025,321.962,1.0,13406.0,284.0,38.0,777.0,2666.0,857.0,1643.0,21.0,0.0,,19693.0
